ID,Year,Award,Winner,Award Motivation,Link on official website
1965 - Medicine / Physiology,1965,Medicine / Physiology,"André Michel Lwoff, François Jacob, Jacques Monod","""for their discoveries concerning genetic control of enzyme and virus synthesis""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1965/
1965 - Literature,1965,Literature,Mikhail Sholokhov,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1965/
1965 - Chemestry,1965,Chemestry,Robert Burns Woodward,"""for his outstanding achievements in the art of organic synthesis""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1965/
1965 - Physics,1965,Physics,"Richard Feynman, Julian Schwinger, Sin-Itiro Tomonaga","""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1965/
1965 - Peace,1965,Peace,United Nations International Children's Emergency Fund (UNICEF),,http://www.nobelprize.org/nobel_prizes/peace/laureates/1965/
1966 - Physics,1966,Physics,Alfred Kastler,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1966/
1966 - Medicine / Physiology,1966,Medicine / Physiology,"Francis Peyton Rous, Charles Brenton Huggins","""for his discovery of tumour-inducing viruses""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1966/
1966 - Chemestry,1966,Chemestry,Robert S. Mulliken,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1966/
1966 - Literature,1966,Literature,"Shmuel Yosef Agnon, Nelly Sachs","""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1966/
1967 - Physics,1967,Physics,Hans Bethe,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1967/
1967 - Chemestry,1967,Chemestry,"Ronald George Wreyford Norrish, Manfred Eigen, George Porter","""for their studies of extremely fast chemical reactions, effected by disturbing the equlibrium by means of very short pulses of energy""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1967/
1967 - Literature,1967,Literature,Miguel Ángel Asturias,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1967/
1967 - Medicine / Physiology,1967,Medicine / Physiology,"George Wald, Haldan Keffer Hartline, Ragnar Granit","""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1967/
1968 - Chemestry,1968,Chemestry,Lars Onsager,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1968/
1968 - Physics,1968,Physics,Luis Walter Alvarez,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1968/
1968 - Peace,1968,Peace,René Cassin,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1968/
1968 - Medicine / Physiology,1968,Medicine / Physiology,"Har Gobind Khorana, Marshall Warren Nirenberg, Robert W. Holley","""for their interpretation of the genetic code and its function in protein synthesis""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1968/
1968 - Literature,1968,Literature,Yasunari Kawabata,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1968/
1969 - Chemestry,1969,Chemestry,"Odd Hassel, Derek Barton","""for their contributions to the development of the concept of conformation and its application in chemistry""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1969/
1969 - Peace,1969,Peace,International Labour Organization,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1969/
1969 - Medicine / Physiology,1969,Medicine / Physiology,"Alfred Hershey, Max Delbrück, Salvador Luria","""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1969/
1969 - Physics,1969,Physics,Murray Gell-Mann,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1969/
1969 - Economics,1969,Economics,"Ragnar Frisch, Jan Tinbergen","""for having developed and applied dynamic models for the analysis of economic processes""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1969/
1969 - Literature,1969,Literature,Samuel Beckett,"""for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1969/
1970 - Literature,1970,Literature,Aleksandr Solzhenitsyn,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1970/
1970 - Physics,1970,Physics,"Louis Néel, Hannes Alfvén","""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1970/
