ID,Year,Award,Winner,Award Motivation,Link on official website
1984 - Physics,1984,Physics,"Simon van der Meer, Carlo Rubbia","""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1984/
1984 - Peace,1984,Peace,Desmond Tutu,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1984/
1984 - Literature,1984,Literature,Jaroslav Seifert,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1984/
1984 - Medicine / Physiology,1984,Medicine / Physiology,"César Milstein, Niels Kaj Jerne, Georges J. F. Köhler","""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1984/
1984 - Economics,1984,Economics,Richard Stone,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1984/
1984 - Chemestry,1984,Chemestry,Robert Bruce Merrifield,"""for his development of methodology for chemical synthesis on a solid matrix""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1984/
1985 - Literature,1985,Literature,Claude Simon,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1985/
1985 - Economics,1985,Economics,Franco Modigliani,"""for his pioneering analyses of saving and of financial markets""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1985/
1985 - Chemestry,1985,Chemestry,"Jerome Karle, Herbert A. Hauptman","""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1985/
1985 - Peace,1985,Peace,International Physicians for the Prevention of Nuclear War,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1985/
1985 - Physics,1985,Physics,Klaus von Klitzing,"""for the discovery of the quantized Hall effect""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1985/
1985 - Medicine / Physiology,1985,Medicine / Physiology,"Joseph L. Goldstein, Michael Stuart Brown","""for their discoveries concerning the regulation of cholesterol metabolism""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1985/
1986 - Chemestry,1986,Chemestry,"John Polanyi, Yuan T. Lee, Dudley R. Herschbach","""for their contributions concerning the dynamics of chemical elementary processes""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1986/
1986 - Peace,1986,Peace,Elie Wiesel,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1986/
1986 - Physics,1986,Physics,"Gerd Binnig, Heinrich Rohrer, Ernst Ruska","""for his fundamental work in electron optics, and for the design of the first electron microscope""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1986/
1986 - Economics,1986,Economics,James M. Buchanan,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1986/
1986 - Medicine / Physiology,1986,Medicine / Physiology,"Stanley Cohen, Rita Levi-Montalcini","""for their discoveries of growth factors""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1986/
1986 - Literature,1986,Literature,Wole Soyinka,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1986/
1987 - Chemestry,1987,Chemestry,"Donald J. Cram, Jean-Marie Lehn, Charles J. Pedersen","""for their development and use of molecules with structure-specific interactions of high selectivity""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1987/
1987 - Physics,1987,Physics,"Karl Alexander Müller, Johannes Georg Bednorz","""for their important break-through in the discovery of superconductivity in ceramic materials""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1987/
1987 - Literature,1987,Literature,Joseph Brodsky,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1987/
1987 - Peace,1987,Peace,Óscar Arias,"""for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year""",http://www.nobelprize.org/nobel_prizes/peace/laureates/1987/
1987 - Economics,1987,Economics,Robert Solow,"""for his contributions to the theory of economic growth""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1987/
1987 - Medicine / Physiology,1987,Medicine / Physiology,Susumu Tonegawa,"""for his discovery of the genetic principle for generation of antibody diversity""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1987/
1988 - Medicine / Physiology,1988,Medicine / Physiology,"James W. Black, George H. Hitchings, Gertrude B. Elion","""for their discoveries of important principles for drug treatment""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1988/
1988 - Chemestry,1988,Chemestry,"Robert Huber, Hartmut Michel, Johann Deisenhofer","""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1988/
1988 - Physics,1988,Physics,"Jack Steinberger, Leon M. Lederman, Melvin Schwartz","""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1988/
1988 - Economics,1988,Economics,Maurice Allais,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1988/
1988 - Literature,1988,Literature,Naguib Mahfouz,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1988/
1988 - Peace,1988,Peace,United Nations Peace-Keeping Forces,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1988/
1989 - Literature,1989,Literature,Camilo José Cela,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1989/
1989 - Medicine / Physiology,1989,Medicine / Physiology,"Harold E. Varmus, J. Michael Bishop","""for their discovery of the cellular origin of retroviral oncogenes""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1989/
1989 - Physics,1989,Physics,"Wolfgang Paul, Norman Foster Ramsey Jr., Hans Georg Dehmelt","""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1989/
1989 - Chemestry,1989,Chemestry,"Sidney Altman, Thomas Cech","""for their discovery of catalytic properties of RNA""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1989/
1989 - Peace,1989,Peace,Tenzin Gyatso (The Dalai Lama),,http://www.nobelprize.org/nobel_prizes/peace/laureates/1989/
1989 - Economics,1989,Economics,Trygve Haavelmo,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1989/
1990 - Chemestry,1990,Chemestry,Elias James Corey,"""for his development of the theory and methodology of organic synthesis""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1990/
1990 - Economics,1990,Economics,"Harry Markowitz, William Forsyth Sharpe, Merton Miller","""for their pioneering work in the theory of financial economics""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1990/
1990 - Physics,1990,Physics,"Henry Way Kendall, Richard E. Taylor, Jerome Isaac Friedman","""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1990/
1990 - Medicine / Physiology,1990,Medicine / Physiology,"E. Donnall Thomas, Joseph Murray","""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1990/
1990 - Peace,1990,Peace,Mikhail Gorbachev,"""for his leading role in the peace process which today characterizes important parts of the international community""",http://www.nobelprize.org/nobel_prizes/peace/laureates/1990/
1990 - Literature,1990,Literature,Octavio Paz,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1990/
1991 - Peace,1991,Peace,Aung San Suu Kyi,"""for her non-violent struggle for democracy and human rights""",http://www.nobelprize.org/nobel_prizes/peace/laureates/1991/
1991 - Medicine / Physiology,1991,Medicine / Physiology,"Erwin Neher, Bert Sakmann","""for their discoveries concerning the function of single ion channels in cells""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1991/
1991 - Literature,1991,Literature,Nadine Gordimer,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1991/
1991 - Physics,1991,Physics,Pierre-Gilles de Gennes,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1991/
1991 - Chemestry,1991,Chemestry,Richard R. Ernst,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1991/
1991 - Economics,1991,Economics,Ronald Coase,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1991/
1992 - Literature,1992,Literature,Derek Walcott,"""for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1992/
1992 - Medicine / Physiology,1992,Medicine / Physiology,"Edwin G. Krebs, Edmond H. Fischer","""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1992/
1992 - Economics,1992,Economics,Gary Becker,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1992/
1992 - Physics,1992,Physics,Georges Charpak,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1992/
1992 - Peace,1992,Peace,Rigoberta Menchú,"""in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",http://www.nobelprize.org/nobel_prizes/peace/laureates/1992/
1992 - Chemestry,1992,Chemestry,Rudolph A. Marcus,"""for his contributions to the theory of electron transfer reactions in chemical systems""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1992/
1993 - Chemestry,1993,Chemestry,"Michael Smith, Kary Mullis","""for contributions to the developments of methods within DNA-based chemistry""",
1993 - Peace,1993,Peace,"Nelson Mandela, F. W. de Klerk","""for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa""",http://www.nobelprize.org/nobel_prizes/peace/laureates/1993/
1993 - Medicine / Physiology,1993,Medicine / Physiology,"Richard J. Roberts, Phillip Allen Sharp","""for their discoveries of split genes""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1993/
1993 - Economics,1993,Economics,"Robert Fogel, Douglass North","""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1993/
1993 - Physics,1993,Physics,"Russell Alan Hulse, Joseph Hooton Taylor Jr.","""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1993/
1993 - Literature,1993,Literature,Toni Morrison,"""who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1993/
1994 - Medicine / Physiology,1994,Medicine / Physiology,"Martin Rodbell, Alfred G. Gilman","""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1994/
1994 - Physics,1994,Physics,"Bertram Brockhouse, Clifford Shull",,http://www.nobelprize.org/nobel_prizes/physics/laureates/1994/
1994 - Chemestry,1994,Chemestry,George Andrew Olah,"""for his contribution to carbocation chemistry""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1994/
1994 - Economics,1994,Economics,"John Harsanyi, John Forbes Nash Jr., Reinhard Selten","""for their pioneering analysis of equilibria in the theory of non-cooperative games""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1994/
1994 - Literature,1994,Literature,Kenzaburō Ōe,"""who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1994/
1994 - Peace,1994,Peace,"Shimon Peres, Yasser Arafat, Yitzhak Rabin","""for their efforts to create peace in the Middle East""",http://www.nobelprize.org/nobel_prizes/peace/laureates/1994/
1995 - Medicine / Physiology,1995,Medicine / Physiology,"Christiane Nüsslein-Volhard, Eric F. Wieschaus, Edward B. Lewis","""for their discoveries concerning the genetic control of early embryonic development""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1995/
1995 - Peace,1995,Peace,"Joseph Rotblat, Pugwash Conferences on Science and World Affairs","""for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms""",http://www.nobelprize.org/nobel_prizes/peace/laureates/1995/
1995 - Physics,1995,Physics,"Frederick Reines, Martin Lewis Perl",,http://www.nobelprize.org/nobel_prizes/physics/laureates/1995/
1995 - Chemestry,1995,Chemestry,"Paul J. Crutzen, Frank Sherwood Rowland, Mario J. Molina","""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1995/
1995 - Economics,1995,Economics,Robert Lucas Jr.,"""for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1995/
1995 - Literature,1995,Literature,Seamus Heaney,"""for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1995/
1996 - Peace,1996,Peace,"José Ramos-Horta, Carlos Filipe Ximenes Belo","""for their work towards a just and peaceful solution to the conflict in East Timor""",http://www.nobelprize.org/nobel_prizes/peace/laureates/1996/
1996 - Physics,1996,Physics,"Douglas Osheroff, David Lee, Robert Coleman Richardson","""for their discovery of superfluidity in helium-3""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1996/
1996 - Economics,1996,Economics,"James Mirrlees, William Vickrey","""for their fundamental contributions to the economic theory of incentives under asymmetric information""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1996/
1996 - Medicine / Physiology,1996,Medicine / Physiology,"Rolf M. Zinkernagel, Peter C. Doherty","""for their discoveries concerning the specificity of the cell mediated immune defence""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1996/
1996 - Chemestry,1996,Chemestry,"Robert F. Curl Jr., Harry Kroto, Richard Smalley","""for their discovery of fullerenes""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1996/
1996 - Literature,1996,Literature,Wisława Szymborska,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1996/
1997 - Literature,1997,Literature,Dario Fo,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1997/
1997 - Peace,1997,Peace,"Jody Williams, International Campaign to Ban Landmines","""for their work for the banning and clearing of anti-personnel mines""",http://www.nobelprize.org/nobel_prizes/peace/laureates/1997/
1997 - Chemestry,1997,Chemestry,"Paul D. Boyer, Jens Christian Skou, John E. Walker","""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1997/
1997 - Economics,1997,Economics,"Robert C. Merton, Myron Scholes","""for a new method to determine the value of derivatives""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1997/
1997 - Medicine / Physiology,1997,Medicine / Physiology,Stanley B. Prusiner,"""for his discovery of Prions - a new biological principle of infection""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1997/
1997 - Physics,1997,Physics,"Steven Chu, Claude Cohen-Tannoudji, William Daniel Phillips","""for development of methods to cool and trap atoms with laser light""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1997/
1998 - Economics,1998,Economics,Amartya Sen,"""for his contributions to welfare economics""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1998/
1998 - Peace,1998,Peace,"David Trimble, John Hume","""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",http://www.nobelprize.org/nobel_prizes/peace/laureates/1998/
1998 - Literature,1998,Literature,José Saramago,"""who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1998/
1998 - Physics,1998,Physics,"Daniel C. Tsui, Robert B. Laughlin, Horst Ludwig Störmer","""for their discovery of a new form of quantum fluid with fractionally charged excitations""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1998/
1998 - Medicine / Physiology,1998,Medicine / Physiology,"Robert F. Furchgott, Ferid Murad, Louis Ignarro","""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1998/
1998 - Chemestry,1998,Chemestry,"Walter Kohn, John Pople","""for his development of the density-functional theory""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1998/
1999 - Chemestry,1999,Chemestry,Ahmed Zewail,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1999/
1999 - Physics,1999,Physics,"Martinus J. G. Veltman, Gerard 't Hooft","""for elucidating the quantum structure of electroweak interactions in physics""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1999/
1999 - Medicine / Physiology,1999,Medicine / Physiology,Günter Blobel,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1999/
1999 - Literature,1999,Literature,Günter Grass,"""whose frolicsome black fables portray the forgotten face of history""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1999/
1999 - Peace,1999,Peace,Médecins Sans Frontières,"""in recognition of the organization's pioneering humanitarian work on several continents""",http://www.nobelprize.org/nobel_prizes/peace/laureates/1999/
1999 - Economics,1999,Economics,Robert Mundell,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1999/
2000 - Chemestry,2000,Chemestry,"Alan MacDiarmid, Hideki Shirakawa, Alan J. Heeger","""for the discovery and development of conductive polymers""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2000/
2000 - Medicine / Physiology,2000,Medicine / Physiology,"Paul Greengard, Arvid Carlsson, Eric Kandel","""for their discoveries concerning signal transduction in the nervous system""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2000/
2000 - Literature,2000,Literature,Gao Xingjian,"""for an æuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2000/
2000 - Economics,2000,Economics,"James Heckman, Daniel McFadden","""for his development of theory and methods for analyzing selective samples""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2000/
2000 - Peace,2000,Peace,Kim Dae-jung,"""for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2000/
2000 - Physics,2000,Physics,"Zhores Alferov, Jack Kilby, Herbert Kroemer",,http://www.nobelprize.org/nobel_prizes/physics/laureates/2000/
2001 - Physics,2001,Physics,"Eric Allin Cornell, Wolfgang Ketterle, Carl Wieman","""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2001/
2001 - Economics,2001,Economics,"Joseph Stiglitz, Michael Spence, George Akerlof","""for their analyses of markets with asymmetric information""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2001/
2001 - Medicine / Physiology,2001,Medicine / Physiology,"Tim Hunt, Paul Nurse, Leland H. Hartwell","""for their discoveries of key regulators of the cell cycle""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2001/
2001 - Peace,2001,Peace,"Kofi Annan, United Nations","""for their work for a better organized and more peaceful world""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2001/
2001 - Literature,2001,Literature,V. S. Naipaul,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2001/
2001 - Chemestry,2001,Chemestry,"Ryōji Noyori, Karl Barry Sharpless, William Standish Knowles","""for their work on chirally catalysed hydrogenation reactions""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2001/
2002 - Economics,2002,Economics,"Daniel Kahneman, Vernon L. Smith","""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2002/
2002 - Literature,2002,Literature,Imre Kertész,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2002/
2002 - Peace,2002,Peace,Jimmy Carter,"""for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2002/
2002 - Chemestry,2002,Chemestry,"Kurt Wüthrich, Koichi Tanaka, John Fenn","""for the development of methods for identification and structure analyses of biological macromolecules""",
2002 - Physics,2002,Physics,"Riccardo Giacconi, Raymond Davis Jr., Masatoshi Koshiba","""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2002/
2002 - Medicine / Physiology,2002,Medicine / Physiology,"H. Robert Horvitz, John Sulston, Sydney Brenner","""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2002/
2003 - Physics,2003,Physics,"Vitaly Ginzburg, Anthony James Leggett, Alexei Alexeyevich Abrikosov","""for pioneering contributions to the theory of superconductors and superfluids""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2003/
2003 - Literature,2003,Literature,J. M. Coetzee,"""who in innumerable guises portrays the surprising involvement of the outsider""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2003/
2003 - Medicine / Physiology,2003,Medicine / Physiology,"Peter Mansfield, Paul Lauterbur","""for their discoveries concerning magnetic resonance imaging""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2003/
2003 - Chemestry,2003,Chemestry,"Peter Agre, Roderick MacKinnon","""for discoveries concerning channels in cell membranes""",
2003 - Economics,2003,Economics,"Clive Granger, Robert F. Engle","""for methods of analyzing economic time series with time-varying volatility (ARCH)""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2003/
2003 - Peace,2003,Peace,Shirin Ebadi,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2003/
2004 - Chemestry,2004,Chemestry,"Irwin Rose, Aaron Ciechanover, Avram Hershko","""for the discovery of ubiquitin-mediated protein degradation""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2004/
2004 - Physics,2004,Physics,"Frank Wilczek, David Gross, Hugh David Politzer","""for the discovery of asymptotic freedom in the theory of the strong interaction""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2004/
2004 - Literature,2004,Literature,Elfriede Jelinek,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2004/
2004 - Economics,2004,Economics,"Finn E. Kydland, Edward C. Prescott","""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2004/
2004 - Medicine / Physiology,2004,Medicine / Physiology,"Linda B. Buck, Richard Axel","""for their discoveries of odorant receptors and the organization of the olfactory system""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2004/
2004 - Peace,2004,Peace,Wangari Maathai,"""for her contribution to sustainable development, democracy and peace""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2004/
2005 - Medicine / Physiology,2005,Medicine / Physiology,"Robin Warren, Barry Marshall","""for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2005/
2005 - Literature,2005,Literature,Harold Pinter,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2005/
2005 - Peace,2005,Peace,"Mohamed ElBaradei, International Atomic Energy Agency","""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2005/
2005 - Economics,2005,Economics,"Robert Aumann, Thomas Schelling","""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2005/
2005 - Physics,2005,Physics,"Theodor W. Hänsch, John L. Hall, Roy J. Glauber","""for his contribution to the quantum theory of optical coherence""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2005/
2005 - Chemestry,2005,Chemestry,"Robert H. Grubbs, Yves Chauvin, Richard R. Schrock","""for the development of the metathesis method in organic synthesis""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2005/
2006 - Medicine / Physiology,2006,Medicine / Physiology,"Craig Mello, Andrew Fire","""for their discovery of RNA interference - gene silencing by double-stranded RNA""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2006/
2006 - Economics,2006,Economics,Edmund Phelps,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2006/
2006 - Physics,2006,Physics,"George Smoot, John C. Mather","""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2006/
2006 - Peace,2006,Peace,"Muhammad Yunus, Grameen Bank","""for their efforts to create economic and social development from below""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2006/
2006 - Literature,2006,Literature,Orhan Pamuk,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2006/
2006 - Chemestry,2006,Chemestry,Roger D. Kornberg,"""for his studies of the molecular basis of eukaryotic transcription""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2006/
2007 - Physics,2007,Physics,"Albert Fert, Peter Grünberg","""for the discovery of Giant Magnetoresistance""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2007/
2007 - Literature,2007,Literature,Doris Lessing,"""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2007/
2007 - Chemestry,2007,Chemestry,Gerhard Ertl,"""for his studies of chemical processes on solid surfaces""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2007/
2007 - Peace,2007,Peace,"Al Gore, Intergovernmental Panel on Climate Change","""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2007/
2007 - Economics,2007,Economics,"Leonid Hurwicz, Roger Myerson, Eric Maskin","""for having laid the foundations of mechanism design theory""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2007/
