School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
East Whittier City Elementary,Whittier,Los Angeles County,,92%,5%,0%,2%,6%,5%,6%,3%,3%,15%,45%,6%,1050,971,51,5,23,987,994,991,1018,1020,100%,10,"33.954431,-118.009153",611850,"Ceres Elementary,Evergreen Elementary,La Colima Elementary,Laurel Elementary,Mulberry Elementary,Murphy Ranch Elementary,Ocean View Elementary,Orchard Dale Elementary,Scott Avenue Elementary,Leffingwell Elementary"
Inglewood Unified,Inglewood,Los Angeles County,,89%,11%,0%,0%,9%,9%,6%,5%,4%,28%,80%,16%,927,825,100,0,2,847,842,870,882,889,71%,17,"33.96121,-118.345897",618390,"Wilder'S Preparatory Academy Charter,Today'S Fresh Start Charter School Inglewood,Icef Inglewood Elementary Charter Academy,Children Of Promise Preparatory Academy,Bennett/Kew Elementary,Worthington Elementary,Centinela Elementary,Highland Elementary,Kelso (William H.) Elementary,La Tijera,Lane (Warren) Elementary,Oak Street Elementary,Parent (Frank D.) Elementary,Payne (Beulah) Elementary,Woodworth (Clyde) Elementary,Hudnall Claude Elementary,Freeman (Daniel) Elementary"
Los Nietos,Whittier,Los Angeles County,,92%,8%,0%,0%,2%,2%,1%,1%,2%,25%,100%,12%,96,88,8,0,0,94,94,95,95,94,33%,3,"33.962551,-118.068011",622890,"Ada S. Nelson Elementary,Aeolian Elementary,Rancho Santa Gertrudes Elementary"
Chino Valley Unified,Chino,San Bernardino County,,96%,2%,0%,3%,4%,4%,4%,3%,3%,14%,39%,6%,1942,1857,33,0,52,1864,1870,1868,1881,1884,100%,23,"33.969734,-117.695522",608460,"Edwin Rhodes Elementary,Michael G. Wickman Elementary,Liberty Elementary,Chaparral Elementary,Cal Aero Preserve Academy,Oxford Preparatory Academy - Chino Valley,E. J. Marshall Elementary,Glenmeade Elementary,Newman Elementary,Walnut Avenue Elementary,Dickson Elementary,Alicia Cortez Elementary,Anna A. Borba Fundamental Elementary,Levi H. Dickey Elementary,Lyle S. Briggs Fundamental,Gerald F. Litel Elementary,Eagle Canyon Elementary,Oak Ridge Elementary,Howard Cattle Elementary,Rolling Ridge Elementary,Butterfield Ranch Elementary,Country Springs Elementary,Hidden Trails Elementary"
Riverside County Office of Education,Temecula,Riverside County,,69%,12%,0%,19%,22%,25%,25%,24%,26%,,36%,,669,464,78,0,127,519,499,504,508,497,100%,3,"33.978856,-117.380605",691026,"River Springs Charter,Imagine Schools, Riverside County,Riverside County Special Education"
El Rancho Unified,Pico Rivera,Los Angeles County,,96%,3%,0%,1%,3%,3%,3%,2%,2%,22%,72%,11%,716,689,18,2,7,692,697,694,703,705,100%,8,"33.987532,-118.092054",612180,"Alice M. Birney Elementary,Durfee Elementary,Lawrence T. Magee Elementary,North Ranchito Elementary,Rio Vista Elementary,Rivera Elementary,South Ranchito Elementary,Valencia Elementary"
Rowland Unified,Simi Valley,Los Angeles County,,97%,2%,0%,1%,2%,2%,2%,2%,1%,24%,58%,9%,1192,1158,20,1,13,1167,1167,1170,1165,1175,100%,15,"33.990826,-117.891964",633750,"Iq Academy California-Los Angeles,Telesis Academy Of Science & Math,Blandford Elementary,Hollingworth Elementary,Hurley Elementary,Jellick Elementary,Killian Elementary,Northam Elementary,Rorimer Elementary,Rowland Elementary,Shelyn Elementary,Villacorta Elementary,Ybarra Academy For The Arts And Technology,Yorbita Elementary,Stanley G. Oswalt Academy"
Walnut Valley Unified,Diamond Bar,Los Angeles County,,94%,3%,1%,2%,5%,4%,5%,3%,3%,14%,12%,4%,734,692,22,5,15,698,704,698,709,710,100%,9,"33.999312,-117.826985",641280,"Castle Rock Elementary,Collegewood Elementary,Evergreen Elementary,Vejar Elementary,Walnut Elementary,Cyrus J. Morris Elementary,Maple Hill Elementary,Quail Summit Elementary,Leonard G. Westhoff Elementary"
Whittier City Elementary,Whittier,Los Angeles County,,89%,9%,0%,2%,8%,7%,8%,5%,5%,20%,63%,11%,699,623,63,0,13,643,648,642,666,666,90%,10,"34.000724,-118.037098",642450,"Whittier Independent Study,Christian Sorensen Elementary,Daniel Phelan Elementary,Longfellow Elementary,Lou Henry Hoover Elementary,Lydia Jackson Elementary,Mill Elementary,Wallen L. Andrews Elementary,Orange Grove Elementary,West Whittier Elementary"
Jurupa Unified,Jurupa Valley,Riverside County,,94%,5%,0%,1%,3%,2%,3%,2%,1%,27%,68%,14%,1534,1446,77,2,9,1492,1499,1493,1510,1512,100%,16,"34.002259,-117.473331",619260,"Glen Avon Elementary,Ina Arbuckle Elementary,Mission Bell Elementary,Pacific Avenue Elementary,Pedley Elementary,Rustic Lane Elementary,Troth Street Elementary,Van Buren Elementary,West Riverside Elementary,Sky Country Elementary,Indian Hills Elementary,Camino Real Elementary,Sunnyslope Elementary,Granite Hill Elementary,Stone Avenue Elementary,Peralta Elementary"
Culver City Unified,Culver City,Los Angeles County,,94%,4%,0%,2%,4%,4%,4%,4%,3%,12%,28%,5%,568,532,22,0,14,547,543,548,543,551,83%,6,"34.003538,-118.394306",610260,"Linwood E. Howe Elementary,El Marino Elementary,El Rincon Elementary,Farragut Elementary,La Ballona Elementary,Culver City Unified School District Academy"
Montebello Unified,City Of Commerce,Los Angeles County,,99%,0%,0%,1%,1%,1%,1%,1%,1%,30%,77%,17%,2113,2093,5,4,11,2094,2094,2094,2096,2098,100%,17,"34.006545,-118.129526",625470,"Bandini Elementary,Bell Gardens Elementary,Bella Vista Elementary,Cesar E. Chavez Elementary,Joseph A. Gascon Elementary,Fremont Elementary,Garfield Elementary,Greenwood Elementary,La Merced Elementary,Montebello Gardens Elementary,Montebello Park Elementary,Potrero Heights Elementary,Rosewood Park School,Suva Elementary,Washington Elementary,Wilcox Elementary,Winter Gardens Elementary"
Hacienda la Puente Unified,Hacienda Heights,Los Angeles County,,93%,6%,0%,1%,5%,5%,5%,3%,1%,23%,67%,7%,1412,1316,85,0,11,1345,1346,1338,1373,1394,100%,23,"34.013225,-117.964388",616325,"Cedarlane Academy,Baldwin Academy,Bixby Elementary,California Elementary,Del Valle Elementary,Fairgrove Academy,Grazide Elementary,Kwis Elementary,Lassalette,Los Altos Elementary,Los Molinos Elementary,Los Robles Academy,Mesa Robles,Nelson Elementary,Palm Elementary,Sparks Elementary,Sunset Elementary,Temple Academy,Workman Elementary,Grandview, College Preparatory Academy,Wing Lane Elementary,Wedgeworth Elementary,Valinda School Of Academics"
Santa Monica-Malibu Unified,Malibu,Los Angeles County,,81%,4%,0%,15%,16%,16%,17%,17%,15%,13%,21%,6%,865,701,36,0,128,726,723,714,720,734,100%,11,"34.032741,-118.729311",635700,"Juan Cabrillo Elementary,Edison Elementary,Franklin Elementary,Grant Elementary,John Muir Elementary,Mckinley Elementary,Point Dume Elementary,Roosevelt Elementary,Webster Elementary,Will Rogers Elementary,Santa Monica Alternative (K-8)"
Valle Lindo Elementary,South El Monte,Los Angeles County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,26%,71%,10%,123,123,0,0,0,123,123,123,123,123,100%,1,"34.034467,-118.060117",640650,New Temple
Colton Joint Unified,Bloomington,San Bernardino County,,95%,4%,0%,1%,4%,3%,4%,2%,2%,27%,76%,15%,1801,1706,73,2,20,1725,1742,1728,1762,1773,100%,18,"34.042441,-117.328983",609390,"Crestmore Elementary,Gerald A. Smith Elementary,Grand Terrace Elementary,Ulysses Grant Elementary,Abraham Lincoln Elementary,Mary B. Lewis Elementary,William Mckinley Elementary,Paul Rogers Elementary,Ruth Grimes Elementary,Terrace View Elementary,Walter Zimmerman Elementary,Woodrow Wilson Elementary,Alice Birney Elementary,Reche Canyon Elementary,Jurupa Vista Elementary,Cooley Ranch Elementary,Michael D'Arcy Elementary,Sycamore Hills Elementary"
Pomona Unified,Pomona,Los Angeles County,,95%,4%,0%,0%,4%,3%,4%,2%,1%,29%,74%,15%,2055,1959,87,1,8,1982,1990,1977,2021,2030,100%,27,"34.047738,-117.780547",631320,"Lopez Elementary,Cortez Elementary,Alcott Elementary,Allison Elementary,Arroyo Elementary,Diamond Point Elementary,Golden Springs Elementary,Harrison Elementary,Kellogg Polytechnic Elementary,Kingsley Elementary,Lexington Elementary,Lincoln Elementary,Madison Elementary,Montvue Elementary,Barfield Elementary,Philadelphia Elementary,Roosevelt Elementary,San Jose Elementary,Washington Elementary,Westmont Elementary,Yorba Elementary,Armstrong Elementary,Decker Elementary,Vejar Elementary,Ranch Hills Elementary,San Antonio Elementary,Pantera Elementary"
Yucaipa-Calimesa Joint Unified,Yucaipa,San Bernardino County,,91%,3%,0%,6%,8%,9%,8%,6%,7%,17%,43%,8%,783,712,25,0,46,717,716,717,733,730,100%,8,"34.051176,-117.013092",643560,"Inland Leaders Charter,Chapman Heights Elementary,Competitive Edge Charter Academy (Ceca),Calimesa Elementary,Dunlap Elementary,Valley Elementary,Ridgeview Elementary,Wildwood Elementary"
Bassett Unified,La Puente,Los Angeles County,,95%,5%,0%,0%,4%,4%,3%,2%,1%,27%,84%,13%,360,341,17,1,1,345,347,348,354,356,100%,4,"34.051588,-117.986391",604110,"Don Julian Elementary,J. E. Van Wig Elementary,Sunkist Elementary,Edgewood Academy"
Mountain View Elementary,El Monte,Los Angeles County,,98%,1%,0%,0%,1%,1%,1%,1%,1%,37%,78%,23%,1235,1212,18,1,4,1218,1224,1222,1228,1226,100%,13,"34.056773,-118.021508",626190,"Baker Elementary,Cogswell Elementary,La Primaria Elementary,Jerry Voorhis Elementary,Maxson Elementary,Miramonte Elementary,Monte Vista Elementary,Parkview Elementary,Willard F. Payne Elementary,Mountain View Elementary,Twin Lakes Elementary,Creek View Elementary,Ranch View Elementary"
Garvey Elementary,San Gabriel,Los Angeles County,,98%,2%,0%,1%,2%,2%,2%,1%,1%,40%,73%,16%,645,630,11,0,4,632,635,633,639,640,100%,8,"34.058766,-118.09643",614940,"Dewey Avenue Elementary,Rice (Eldridge) Elementary,Sanchez (George I.) Elementary,Willard (Frances E.) Elementary,Hillcrest Elementary,Monterey Vista Elementary,Emerson (Ralph Waldo) Elementary,Bitely (Arlene) Elementary"
West Covina Unified,Simi Valley,Los Angeles County,,90%,1%,0%,8%,9%,9%,9%,8%,9%,17%,48%,5%,927,838,12,0,77,840,843,841,849,848,100%,9,"34.060552,-117.923505",642000,"California Virtual Academy @ Los Angeles,Cameron Elementary,Merced Elementary,Merlinda Elementary,Monte Vista Elementary,Orangewood Elementary,San Jose Charter Academy,Vine Elementary,Wescove Elementary"
Ontario-Montclair,Ontario,San Bernardino County,,96%,3%,0%,1%,3%,3%,3%,1%,1%,31%,79%,16%,2925,2818,81,8,18,2839,2848,2831,2886,2889,100%,26,"34.061913,-117.657752",628470,"Vista Grande Elementary,Montera Elementary,Arroyo Elementary,Berlyn Elementary,Bon View Elementary,Buena Vista Arts-Integrated,Central Language Academy,Corona Elementary,Richard Haynes Elementary,Del Norte Elementary,Edison Elementary,El Camino Elementary,Elderberry Elementary,Euclid Elementary,Hawthorne Elementary,Howard Elementary,Kingsley Elementary,Lehigh Elementary,Mariposa Elementary,Mission Elementary,Monte Vista Elementary,Moreno Elementary,Ramona Elementary,Sultana Elementary,Vineyard Elementary,Lincoln Elementary"
Cucamonga Elementary,Rancho Cucamonga,San Bernardino County,,88%,10%,1%,1%,8%,6%,2%,6%,2%,23%,58%,8%,358,314,37,4,3,328,335,350,335,350,100%,3,"34.072924,-117.560444",616300,"Cucamonga Elementary,Los Amigos Elementary,The Ontario Center"
Alhambra Unified,Monterey Park,Los Angeles County,,94%,4%,0%,2%,4%,3%,3%,2%,2%,27%,51%,11%,931,879,38,0,14,897,903,899,912,915,100%,13,"34.074667,-118.137636",600153,"Brightwood Elementary,Emery Park Elementary,Fremont Elementary,Garfield Elementary,Granada Elementary,Marguerita Elementary,Martha Baldwin Elementary,Monterey Highlands Elementary,Park Elementary,Ramona Elementary,Repetto Elementary,William Northrup Elementary,Ynez Elementary"
Lompoc Unified,Vandenberg Afb,Santa Barbara County,,95%,2%,0%,2%,4%,4%,3%,3%,3%,24%,56%,13%,918,876,22,1,19,878,885,886,894,895,100%,10,"34.07767,-119.916239",622410,"Manzanita Public Charter,Arthur Hapgood Elementary,Buena Vista Elementary,Clarence Ruth Elementary,Crestview Elementary,La Canada Elementary,La Honda Elementary,Leonora Fillmore Elementary,Los Berros Elementary,Miguelito Elementary"
Beverly Hills Unified,Beverly Hills,Los Angeles County,,71%,16%,1%,12%,23%,23%,24%,17%,15%,16%,4%,6%,270,192,44,2,32,208,209,205,223,229,100%,4,"34.07923,-118.402437",604830,"Beverly Vista Elementary,El Rodeo Elementary,Hawthorne Elementary,Horace Mann Elementary"
Rosemead Elementary,Rosemead,Los Angeles County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,33%,65%,11%,273,272,1,0,0,272,272,272,272,273,100%,4,"34.079244,-118.073295",633570,"Emma W. Shuey Elementary,Encinita Elementary,Mildred B. Janson Elementary,Savannah Elementary"
Covina-Valley Unified,Covina,Los Angeles County,,90%,9%,1%,1%,7%,6%,8%,3%,2%,17%,60%,9%,896,804,80,5,7,836,844,826,870,879,100%,10,"34.080061,-117.887106",610050,"Barranca Elementary,Ben Lomond Elementary,Cypress Elementary,Grovecenter Elementary,Lark Ellen Elementary,Manzanita Elementary,Merwin Elementary,Mesa Elementary,Rowland Avenue Elementary,Workman Avenue Elementary"
Redlands Unified,Highland,San Bernardino County,,93%,2%,0%,4%,6%,5%,6%,5%,5%,17%,52%,8%,1568,1462,33,4,69,1478,1485,1477,1483,1495,100%,16,"34.083016,-117.073317",632070,"Highland Grove Elementary,Judson & Brown Elementary,Mission Elementary,Crafton Elementary,Cram Elementary,Franklin Elementary,Kimberly Elementary,Lugonia Elementary,Mariposa Elementary,Mckinley Elementary,Mentone Elementary,Smiley Elementary,Victoria Elementary,Kingsbury Elementary,Arroyo Verde Elementary,Bryn Mawr Elementary"
El Monte City,El Monte,Los Angeles County,,88%,12%,0%,0%,3%,5%,5%,1%,1%,35%,86%,17%,962,848,111,1,2,936,915,910,952,951,100%,14,"34.08331,-118.029054",612090,"Cherrylee Elementary,Cleminson Elementary,Columbia Elementary,Cortada Elementary,Durfee Elementary,Shirpser Elementary,Gidley Elementary,Legore Elementary,New Lexington Elementary,Potrero Elementary,Rio Hondo Elementary,Rio Vista Elementary,Wilkerson Elementary,Wright Elementary"
Baldwin Park Unified,Baldwin Park,Los Angeles County,,98%,1%,0%,1%,1%,1%,1%,1%,1%,29%,79%,16%,1172,1154,11,0,7,1155,1157,1157,1163,1162,100%,12,"34.08966,-117.968722",603690,"Charles Bursch Elementary,Central Elementary,De Anza Elementary,Elwin Elementary,Foster Elementary,Ernest R. Geddes Elementary,Kenmore Elementary,Margaret Heath Elementary,Pleasant View Elementary,Tracy Elementary,Vineland Elementary,Walnut Elementary"
San Gabriel Unified,San Gabriel,Los Angeles County,,96%,3%,0%,1%,3%,3%,3%,2%,1%,23%,44%,8%,343,330,11,0,2,333,332,333,337,338,100%,5,"34.100207,-118.095181",634425,"Coolidge Elementary,Mckinley Elementary,Roosevelt Elementary,Washington Elementary,Wilson Elementary"
Charter Oak Unified,Covina,Los Angeles County,,91%,7%,0%,2%,4%,4%,9%,5%,4%,14%,51%,6%,368,334,25,0,9,352,353,334,351,354,100%,5,"34.100976,-117.854104",608190,"Badillo Elementary,Cedargrove Elementary,Glen Oak Elementary,Washington Elementary,Willow Elementary"
Temple City Unified,San Gabriel,Los Angeles County,,91%,8%,1%,1%,4%,4%,9%,3%,1%,18%,29%,9%,339,309,26,2,2,327,327,310,329,334,100%,3,"34.108039,-118.065144",638980,"Emperor Elementary,La Rosa Elementary,Longden Elementary"
South Pasadena Unified,South Pasadena,Los Angeles County,,85%,6%,0%,8%,12%,10%,12%,10%,9%,9%,9%,5%,365,312,22,0,31,322,327,323,330,332,100%,3,"34.108957,-118.156615",637500,"Arroyo Vista Elementary,Marengo Elementary,Monterey Hills Elementary"
Fontana Unified,Fontana,San Bernardino County,,98%,1%,0%,1%,2%,1%,1%,1%,1%,27%,75%,17%,3155,3095,42,2,16,3102,3113,3115,3122,3132,100%,29,"34.110385,-117.458101",613920,"Almond Elementary,Dorothy Grant Elementary,Kathy Binks Elementary,Beech Avenue Elementary,Juniper Elementary,Live Oak Elementary,Maple Elementary,North Tamarind Elementary,Oleander Elementary,Palmetto Elementary,Poplar Elementary,Randall Pepper Elementary,Redwood Elementary,Virginia Primrose Elementary,South Tamarind Elementary,West Randall Elementary,Cypress Elementary,Tokay Elementary,Locust Elementary,Chaparral Elementary,Oak Park Elementary,Shadow Hills Elementary,Canyon Crest Elementary,Mango Elementary,Hemlock Elementary,Date Elementary,Citrus Elementary,Sierra Lakes Elementary,Ted Porter Elementary"
Central Elementary,Rancho Cucamonga,San Bernardino County,,95%,3%,1%,1%,3%,3%,3%,3%,2%,16%,48%,4%,510,486,16,3,5,495,496,494,494,501,100%,5,"34.112055,-117.595957",607950,"Central Elementary,Valle Vista Elementary,Doã‘A Merced Elementary,Bear Gulch Elementary,Coyote Canyon Elementary"
San Bernardino County Office of Education,San Bernardino,San Bernardino County,,94%,3%,0%,4%,5%,5%,6%,4%,4%,,58%,,238,223,6,0,9,225,226,223,228,228,100%,2,"34.112697,-117.572326",691029,"Norton Space And Aeronautics Academy,San Bernardino County Special Education"
Las Virgenes Unified,Agoura,Los Angeles County,,86%,3%,0%,10%,12%,12%,12%,11%,10%,8%,5%,4%,773,667,27,0,79,682,681,680,688,693,100%,9,"34.121108,-118.739171",621000,"Mariposa School Of Global Education,Chaparral Elementary,Round Meadow Elementary,White Oak Elementary,Yerba Buena Elementary,Lupin Hill Elementary,Sumac Elementary,Willow Elementary,Bay Laurel Elementary"
San Marino Unified,San Marino,Los Angeles County,,89%,11%,0%,0%,4%,4%,8%,2%,1%,8%,1%,3%,179,160,19,0,0,171,171,164,176,177,100%,2,"34.123198,-118.11026",634860,"Carver Elementary,Valentine Elementary"
Bonita Unified,San Dimas,Los Angeles County,,94%,2%,0%,3%,6%,5%,5%,4%,4%,11%,30%,5%,666,626,16,3,21,628,634,630,639,641,100%,8,"34.142721,-117.782875",605610,"Allen Avenue Elementary,Arma J. Shull Elementary,Fred Ekstrand Elementary,Gladstone Elementary,Grace Miller Elementary,J. Marion Roynon Elementary,La Verne Heights Elementary,Oak Mesa Elementary"
Arcadia Unified,Arcadia,Los Angeles County,,96%,3%,0%,1%,3%,3%,3%,2%,1%,13%,13%,8%,531,509,17,0,5,517,513,515,522,526,100%,6,"34.143861,-118.035752",602970,"Baldwin Stocker Elementary,Camino Grove Elementary,Highland Oaks Elementary,Holly Avenue Elementary,Hugo Reid Elementary,Longley Way Elementary"
Hueneme Elementary,Oxnard,Ventura County,,95%,4%,0%,0%,4%,3%,4%,1%,1%,25%,66%,12%,1020,973,43,0,4,981,988,978,1010,1013,100%,9,"34.145318,-119.216573",617850,"Ansgar Larsen Elementary,Art Haycox Elementary,Fred L. Williams Elementary,Hollywood Beach Elementary,Hueneme Elementary,Julien Hathaway Elementary,Parkview Elementary,Richard Bard Elementary,Sunkist Elementary"
Upland Unified,Upland,San Bernardino County,,92%,4%,0%,4%,7%,7%,6%,5%,4%,18%,49%,8%,904,830,40,0,34,840,843,848,857,867,100%,10,"34.146316,-117.658523",600016,"Baldy View Elementary,Cabrillo Elementary,Citrus Elementary,Foothill Knolls Elementary,Magnolia Elementary,Sierra Vista Elementary,Sycamore Elementary,Upland Elementary,Valencia Elementary,Pepper Tree Elementary"
Etiwanda Elementary,Etiwanda,San Bernardino County,,94%,1%,0%,4%,6%,5%,5%,5%,4%,10%,26%,3%,1418,1335,20,1,62,1340,1348,1348,1351,1355,100%,12,"34.159074,-117.507299",612960,"Etiwanda Colony Elementary,Perdew Elementary,Windrows Elementary,Caryn Elementary,West Heritage Elementary,Carleton P. Lightfoot Elementary,Terra Vista Elementary,East Heritage Elementary,David W. Long Elementary,Cecilia Lucero Solorio Elementary,John L. Golden Elementary,Grapeland Elementary"
Glendora Unified,Glendora,Los Angeles County,,93%,3%,1%,3%,6%,6%,6%,5%,5%,10%,23%,4%,595,555,15,7,18,562,561,562,568,568,100%,5,"34.163315,-117.84305",615270,"Cullen Elementary,La Fetra Elementary,Sellers Elementary,Stanton Elementary,Sutherland Elementary"
Monrovia Unified,Monrovia,Los Angeles County,,89%,8%,0%,2%,9%,9%,10%,7%,7%,18%,49%,8%,492,438,41,1,12,448,446,442,460,460,100%,5,"34.166455,-118.002785",625320,"Bradoaks Elementary,Mayflower Elementary,Monroe Elementary,Plymouth Elementary,Wild Rose Elementary"
Duarte Unified,Duarte,Los Angeles County,,97%,2%,0%,1%,2%,2%,3%,2%,2%,21%,64%,8%,306,297,5,0,4,301,301,297,301,301,100%,5,"34.166516,-117.956237",611520,"Andres Duarte Elementary,Beardslee Elementary,Maxwell Elementary,Royal Oaks Elementary,Valley View Elementary"
Oxnard Union High,Camarillo,Ventura County,,85%,8%,5%,2%,14%,14%,14%,10%,10%,18%,3%,10%,59,50,5,3,1,51,51,51,53,53,100%,1,34.166617-119.084151,629270,Camarillo Academy Of Progressive Education
Alta Loma Elementary,Alta Loma,San Bernardino County,,94%,2%,0%,4%,5%,5%,5%,5%,5%,12%,25%,4%,607,572,10,1,24,575,578,575,576,577,100%,8,"34.170796,-117.595227",602160,"Alta Loma Elementary,Carnelian Elementary,Jasper Elementary,Floyd M. Stork Elementary,Deer Canyon Elementary,Hermosa Elementary,Victoria Groves Elementary,Banyan Elementary"
Conejo Valley Unified,Newbury Park,Ventura County,,83%,13%,0%,4%,13%,11%,14%,6%,5%,9%,22%,5%,1277,1058,165,4,50,1111,1135,1104,1195,1211,100%,17,"34.177632,-118.884912",609640,"Environmental Academy Of Research Technology And Earth Sciences,Acacia Elementary,Aspen Elementary,Banyan Elementary,Madrona Elementary,Maple Elementary,Walnut Elementary,Conejo Elementary,Glenwood Elementary,Ladera Elementary,Weathersfield Elementary,Westlake Elementary,Wildwood Elementary,Cypress Elementary,Westlake Hills Elementary,Lang Ranch,Sycamore Canyon"
Burbank Unified,Burbank,Los Angeles County,,87%,11%,0%,3%,9%,10%,10%,5%,5%,15%,27%,6%,973,843,105,0,25,886,871,878,924,928,100%,11,"34.190079,-118.326405",606450,"Walt Disney Elementary,Thomas Edison Elementary,Ralph Emerson Elementary,Bret Harte Elementary,Thomas Jefferson Elementary,William Mckinley Elementary,Joaquin Miller Elementary,Providencia Elementary,Theodore Roosevelt Elementary,R. L. Stevenson Elementary,George Washington Elementary"
Bear Valley Unified,Forest Falls,San Bernardino County,,80%,12%,0%,8%,16%,16%,14%,14%,12%,20%,62%,13%,113,90,14,0,9,95,95,97,97,100,75%,4,"34.191076,-116.84233",604230,"Fallsvale Elementary,North Shore Elementary,Big Bear Elementary,Baldwin Lane Elementary"
Claremont Unified,Claremont,Los Angeles County,,90%,0%,0%,10%,10%,10%,10%,10%,10%,14%,33%,6%,428,384,0,0,44,384,384,384,384,384,100%,7,"34.194283,-117.712654",608760,"Chaparral Elementary,Condit Elementary,Mountain View Elementary,Oakmont Elementary,Sumner Elementary,Sycamore Elementary,Vista Del Valle Elementary"
Oak Park Unified,Oak Park,Ventura County,,82%,11%,1%,6%,16%,16%,15%,7%,8%,8%,4%,5%,310,254,34,3,19,260,261,265,288,286,100%,3,"34.196089,-118.724637",627850,"Brookside Elementary,Oak Hills Elementary,Red Oak Elementary"
Pasadena Unified,Altadena,Los Angeles County,,87%,10%,0%,2%,11%,11%,11%,4%,3%,20%,58%,7%,1666,1455,169,2,40,1489,1487,1483,1598,1609,95%,21,"34.196246,-118.09459",629940,"Aveson School Of Leaders,Pasadena Rosebud Academy,Celerity Exa Charter,Norma Coombs Alternative,Altadena Elementary,Cleveland Elementary,Don Benito Fundamental,Field (Eugene) Elementary,Franklin Elementary,Hamilton Elementary,Jackson Elementary,Jefferson Elementary,Longfellow (Henry W.) Elementary,Madison Elementary,Roosevelt,San Rafael Elementary,Sierra Madre Elementary,Daniel Webster,Willard Elementary,Washington Accelerated Elementary,Mckinley"
San Bernardino City Unified,San Bernardino,San Bernardino County,,97%,2%,0%,1%,3%,2%,2%,2%,1%,41%,87%,26%,3858,3735,73,3,47,3747,3772,3769,3793,3805,93%,55,"34.198059,-117.340378",634170,"Asa Charter,Roger Anton Elementary,Juanita Blakely Jones Elementary,Casa Ramona Academy For Technology, Community, And Education,Bing Wong Elementary,Soar Charter Academy,Excel Prep Charter,Hardy Brown College Prep,Taft T. Newman Leadership Academy,Woodward Leadership Academy,Graciano Gomez Elementary,George Brown Jr. Elementary,Little Mountain Elementary,Ramona-Alessandro Elementary,Arrowhead Elementary,Barton Elementary,Belvedere Elementary,Bradley Elementary,Captain Leland Norton Elementary,Manuel A. Salinas Creative Arts Elementary,Cole Elementary,Cypress Elementary,Davidson Elementary,Del Rosa Elementary,Fairfax Elementary,Hillside Elementary,Hunt Elementary,Kendall Elementary,Lankershim Elementary,Lincoln Elementary,Lytle Creek Elementary,Marshall Elementary,Monterey Elementary,Mt. Vernon Elementary,Howard Inghram Elementary,Muscoy Elementary,Newmark Elementary,Highland Pacific Elementary,Parkside Elementary,Riley Elementary,Rio Vista Elementary,Roosevelt Elementary,Thompson Elementary,Urbita Elementary,Vermont Elementary,Warm Springs Elementary,Wilson Elementary,Kimbark Elementary,North Park Elementary,Emmerton Elementary,Oehl Elementary,E. Neal Roberts Elementary,North Verdemont Elementary,Palm Avenue Elementary,Star At Anderson Community Day"
Glendale Unified,Glendale,Los Angeles County,,83%,15%,0%,2%,12%,11%,11%,5%,6%,20%,40%,10%,1829,1509,271,7,42,1613,1630,1627,1744,1720,95%,20,"34.203835,-118.251767",615240,"Balboa Elementary,Cerritos Elementary,Columbus Elementary,Dunsmore Elementary,Thomas Edison Elementary,Benjamin Franklin Elementary,John C. Fremont Elementary,Glenoaks Elementary,Thomas Jefferson Elementary,Mark Keppel Elementary,La Crescenta Elementary,Abraham Lincoln Elementary,Horace Mann Elementary,John Marshall Elementary,Monte Vista Elementary,Mountain Avenue Elementary,John Muir Elementary,Valley View Elementary,Verdugo Woodlands Elementary,R. D. White Elementary"
Oxnard,Oxnard,Ventura County,,98%,2%,0%,0%,1%,1%,1%,0%,0%,26%,76%,14%,2118,2080,37,0,1,2091,2096,2090,2111,2112,100%,17,"34.209894,-119.231986",629220,"Thurgood Marshall Elementary,Juan Lagunas Soria Elementary,Curren Elementary,Driffill Elementary,Elm Street Elementary,Harrington Elementary,Cesar E. Chavez Elementary,Kamala Elementary,Marina West Elementary,Mckinna Elementary,Ramona Elementary,Rose Avenue Elementary,Sierra Linda Elementary,Lemonwood Elementary,Christa Mcauliffe Elementary,Emilie Ritchen Elementary,Norman R. Brekke Elementary"
Morongo Unified,Yucca Valley,San Bernardino County,,93%,3%,0%,4%,6%,6%,6%,5%,5%,27%,58%,14%,845,790,25,0,30,795,796,798,803,803,100%,12,"34.2119,-116.180753",625860,"Hope Academy Charter,Joshua Tree Elementary,Morongo Valley Elementary,Oasis Elementary,Palm Vista Elementary,Twentynine Palms Elementary,Yucca Valley Elementary,Yucca Mesa Elementary,Friendly Hills Elementary,Condor Elementary,Landers Elementary,Onaga Elementary"
