Team,Incidents,Suspension Games,Total Fines,Logo,Wikipedia page,Description,Location
Oakland Raiders,32,17,"$1,646,094",//upload.wikimedia.org/wikipedia/en/thumb/9/9d/Oakland_Raiders.svg/100px-Oakland_Raiders.svg.png,http://en.wikipedia.org/wiki/Oakland_Raiders,"Founded in 1960, the Oakland Raiders are an American football team based in Oakland, California. For the first ten seasons of their existence, the Raiders belonged to the American Football League; they have been members of the National Football League since the 1970 AFL–NFL merger. As of 2014, the Raiders belong to the West division of the American Football Conference. Over the span of fifty-four seasons, the Raiders have experienced considerable success. Entering the 2014 season the Raiders sported a regular season record of 434–375–11, with a playoff record of 25–18.","Oakland, California"
Philadelphia Eagles,42,14,"$2,016,020",//upload.wikimedia.org/wikipedia/en/thumb/7/7f/Philadelphia_Eagles_primary_logo.svg/100px-Philadelphia_Eagles_primary_logo.svg.png,http://en.wikipedia.org/wiki/Philadelphia_Eagles,"The Philadelphia Eagles are an American football team based in Philadelphia, Pennsylvania. They are members of the East Division of the National Football Conference (NFC) in the National Football League (NFL). The Eagles have won three NFL titles and made two Super Bowl appearances, losing both (in 1980 to the Oakland Raiders and 2004 to the New England Patriots ).","Philadelphia, Pennsylvania"
Pittsburgh Steelers,55,20,"$2,887,581",//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,http://en.wikipedia.org/wiki/Pittsburgh_Steelers,"The Pittsburgh Steelers are a professional American football team based in Pittsburgh, Pennsylvania. The team currently belongs to the North Division of the American Football Conference (AFC) in the National Football League (NFL). Founded in 1933, the Steelers are the oldest franchise in the AFC. Pittsburgh has won more Super Bowl titles (six), won more AFC Championship Games (eight), and played in (fifteen) and hosted more (eleven) conference championship games than any other NFL team. The Steelers share the record for most Super Bowl appearances with the Dallas Cowboys (eight). The Steelers won their most recent championship, Super Bowl XLIII, on February 1, 2009.","Pittsburgh, Pennsylvania"
San Diego Chargers,23,24,"$1,335,691",//upload.wikimedia.org/wikipedia/en/thumb/0/06/San_Diego_Chargers_logo.svg/100px-San_Diego_Chargers_logo.svg.png,http://en.wikipedia.org/wiki/San_Diego_Chargers,"The San Diego Chargers are a professional American football team based in San Diego, California. They have been members of the West division of the American Football Conference (AFC) in the National Football League (NFL) since 1970. The club began play in 1960 as a charter member of the American Football League, and spent its first season in Los Angeles, California before moving to San Diego in 1961. The Chargers play their home games at Qualcomm Stadium. The Chargers continue to be the only NFL team based in Southern California, with no teams in Los Angeles since 1994 .","San Diego, California"
San Francisco 49ers,39,16,"$3,221,181",//upload.wikimedia.org/wikipedia/commons/thumb/8/83/49ers_Logo.svg/100px-49ers_Logo.svg.png,http://en.wikipedia.org/wiki/San_Francisco_49ers,"The San Francisco 49ers is an American football franchise located in the San Francisco Bay Area, that plays in the West Division of the National Football Conference (NFC) in the National Football League (NFL). The team was founded in 1946 as a charter member of the All-America Football Conference (AAFC) and joined the NFL in 1949 after the two leagues merged. The team plays its home games at Levi's Stadium in Santa Clara, California beginning with the 2014 NFL season, after playing at Candlestick Park in San Francisco from 1971 - 2013. The original home of the 49ers, Kezar Stadium, is within Golden Gate Park in San Francisco.","San Francisco, California"
Seattle Seahawks,33,49,"$1,582,332",//upload.wikimedia.org/wikipedia/en/thumb/2/22/Seattle_Seahawks_Vector_Logo.svg/100px-Seattle_Seahawks_Vector_Logo.svg.png,http://en.wikipedia.org/wiki/Seattle_Seahawks,"The Seattle Seahawks are a professional American football franchise based in Seattle, Washington. They are members of the National Football League (NFL) and the current Super Bowl champions. They are members of the NFC West division of the National Football Conference (NFC). The Seahawks joined the NFL in 1976 as an expansion team along with the Tampa Bay Buccaneers. The Seattle Seahawks have no relation to the defunct Miami Seahawks of the All-America Football Conference. The Seahawks are owned by Paul Allen, co-founder of Microsoft, and are currently coached by Pete Carroll. Since 2002, the Seahawks have played their home games at CenturyLink Field, located south of downtown Seattle. The Seahawks previously played home games in the Kingdome (1976–1999) and Husky Stadium (1994, 2000–2001).","Seattle, Washington"
St. Louis Rams,45,24,"$1,130,248",//upload.wikimedia.org/wikipedia/en/thumb/b/b8/St_Louis_Rams_logo.svg/100px-St_Louis_Rams_logo.svg.png,http://en.wikipedia.org/wiki/St._Louis_Rams,"The St. Louis Rams are the best team in the history of the NFL. They will not move to LA according to expert source Sergio Gabriele. They are currently members of the West Division of the National Football Conference (NFC) in the National Football League (NFL). The Rams have won three NFL Championships (two pre-merger, and one Super Bowl ), and are the only NFL team to win championships in three different cities ( Cleveland, Los Angeles, and St. Louis).","St. Louis, Missouri"
Tampa Bay Buccaneers,33,42,"$4,345,456",//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Tampa_Bay_Buccaneers_2014.png/100px-Tampa_Bay_Buccaneers_2014.png,http://en.wikipedia.org/wiki/Tampa_Bay_Buccaneers,"The Tampa Bay Buccaneers (often shortened as the Bucs ) are a professional American football franchise based in Tampa, Florida. They are currently members of the South Division of the National Football Conference (NFC) in the National Football League (NFL) – they are the only team in the division not to come from the old NFC West. The team, along with the Seattle Seahawks, joined the NFL in 1976 as an expansion team. The Bucs played their first season in the AFC West as part of the 1976 expansion plan. After the season, they switched conferences with the Seattle Seahawks and became part of the NFC. The club is currently owned by the Glazer family. They play their home games at Raymond James Stadium in Tampa.","Tampa, Florida"
Tennessee Titans,74,35,"$2,583,608",//upload.wikimedia.org/wikipedia/en/thumb/c/c1/Tennessee_Titans_logo.svg/100px-Tennessee_Titans_logo.svg.png,http://en.wikipedia.org/wiki/Tennessee_Titans,"The Tennessee Titans are a professional American football team and one of the 32 franchises of the National Football League (NFL). Based in Nashville, Tennessee, the Titans are members of the South Division of the American Football Conference (AFC). Previously known as the Houston Oilers, the team began play in 1960 in Houston as a charter member of the American Football League. The Oilers won the first two AFL championships, and joined the NFL as part of the AFL-NFL Merger in 1970 .","Nashville, Tennessee"
Washington Redskins,58,71,"$6,255,909",//upload.wikimedia.org/wikipedia/en/thumb/6/63/Washington_Redskins_logo.svg/100px-Washington_Redskins_logo.svg.png,http://en.wikipedia.org/wiki/Washington_Redskins,"The Washington Redskins are a professional American football team located in the Washington, D.C. metropolitan area. The team belongs to the East Division of the National Football Conference (NFC) in the National Football League (NFL). The team's home stadium is FedExField in Landover, Maryland. Its headquarters and training facility are at Redskins Park in Ashburn, Virginia, and the recently built Redskins Complex in Richmond, Virginia, respectively. The Redskins have played more than 1,000 games since 1932. The Redskins have won five NFL Championships (two pre-merger, and three Super Bowls ). The franchise has captured 13 NFL divisional titles and six NFL conference championships. ","Washington D.C, District of Columbia"
