Titanic passager,Status,Disembarked at,Home Country,Age,Year of Birth,Crew or Passenger?,Gender,Class / Department,Embarked,Job,Job details,Ticket Number,Fare Price,Profile on Encyclopedia Titanica
"WEATHERSTON, Mr Thomas Herbert",Victim,Not Disembarked,England,24,1887,Crew,Male,Victualling Crew,Belfast,Steward,Saloon Steward (1st class),,,http://www.encyclopedia-titanica.org/titanic-victim/thomas-herbert-weatherstone.html
"WEBB, Mr Brooke Holding",Victim,Not Disembarked,England,50,1862,Crew,Male,Victualling Crew,Belfast,Steward,Smoke Room Steward (1st class),,,http://www.encyclopedia-titanica.org/titanic-victim/brooke-holding-webb.html
"WHITE, Mr Edward Joseph",Victim,Not Disembarked,England,27,1885,Crew,Male,Victualling Crew,Southampton,Steward,Glory hole steward (3rd class),,,http://www.encyclopedia-titanica.org/titanic-victim/edward-joseph-white.html
"WHITE, Mr Leonard Lisle Oliver",Victim,Not Disembarked,England,31,1881,Crew,Male,Victualling Crew,Belfast,Steward,Saloon Steward,,,http://www.encyclopedia-titanica.org/titanic-victim/leonard-lisle-oliver-white.html
"WHITFORD, Mr Alfred Henry",Victim,Not Disembarked,England,39,1873,Crew,Male,Victualling Crew,Southampton,Steward,Saloon Steward,,,http://www.encyclopedia-titanica.org/titanic-victim/alfred-henry-whitford.html
"WILLIS, Mr William",Victim,Not Disembarked,England,46,1853,Crew,Male,Victualling Crew,Southampton,Steward,3rd Class Packer Steward,,,http://www.encyclopedia-titanica.org/titanic-victim/william-willis.html
"WINSER, Mr Rowland",Victim,Not Disembarked,England,33,1876,Crew,Male,Victualling Crew,Southampton,Steward,Steward,,,http://www.encyclopedia-titanica.org/titanic-victim/rowland-winser.html
"WITTMAN, Mr Henry",Victim,Not Disembarked,England,38,1873,Crew,Male,Victualling Crew,Southampton,Steward,Bathroom Steward (1st Class),,,http://www.encyclopedia-titanica.org/titanic-victim/henry-wittman.html
"WOOD, Mr James Thomas",Victim,Not Disembarked,England,40,1872,Crew,Male,Victualling Crew,Southampton,Steward,Assistant Saloon Steward,,,http://www.encyclopedia-titanica.org/titanic-victim/james-thomas-wood.html
"WORMALD, Mr Henry Frederick Charles",Victim,Not Disembarked,England,44,1867,Crew,Male,Victualling Crew,Southampton,Steward,Saloon Steward,,,http://www.encyclopedia-titanica.org/titanic-victim/frederick-william-wormald.html
"WRAPSON, Mr Frederick Bernard",Victim,Not Disembarked,England,18,1893,Crew,Male,Victualling Crew,Belfast,Steward,Assistant Pantryman Steward,,,http://www.encyclopedia-titanica.org/titanic-victim/frederick-bernard-wrapson.html
"BARKER, Mr George [2]",,Southampton,,56,1856,Crew,Male,Engineering Crew,Belfast,Storekeeper,Storekeeper,,,http://www.encyclopedia-titanica.org/titanic-biography/george-barker.html
"FOLEY, Mr John",Survivor,Not Disembarked,England,46,1865,Crew,Male,Deck Crew,Belfast,Storekeeper,Deck storekeeper,,,http://www.encyclopedia-titanica.org/titanic-survivor/john-foley.html
"PRENTICE, Mr Frank Winnold",Survivor,Not Disembarked,England,23,1889,Crew,Male,Victualling Crew,Southampton,Storekeeper,Storekeeper,,,http://www.encyclopedia-titanica.org/titanic-survivor/frank-winnold-prentice.html
