Titanic passager,Status,Disembarked at,Home Country,Age,Year of Birth,Crew or Passenger?,Gender,Class / Department,Embarked,Job,Job details,Ticket Number,Fare Price,Profile on Encyclopedia Titanica
"DE GRASSE, Mr J.",,Cherbourg,,,,Passenger,Male,2nd Class,Southampton,,,761,£1,http://www.encyclopedia-titanica.org/titanic-biography/j-de-grasse.html
"EVANS, Miss",,Cherbourg,,,,Passenger,Female,2nd Class,Southampton,,,88,£1,http://www.encyclopedia-titanica.org/titanic-biography/evans.html
"MULLEN,",,Cherbourg,,,,Passenger,Female,2nd Class,Southampton,,,404,£1,http://www.encyclopedia-titanica.org/titanic-biography/mullen.html
"WOTTON, Mr Henry Swaffin",,Cherbourg,,54,1858,Passenger,Male,1st Class,Southampton,Butcher,Butcher's Shop Proprietor,86,£1 10s,http://www.encyclopedia-titanica.org/titanic-cross-channel-passenger/henry-swaffin-wotton.html
"BRAND, Mr",,Cherbourg,,,,Passenger,Male,1st Class,Southampton,,,8,£1 10s,http://www.encyclopedia-titanica.org/titanic-biography/brand.html
"FLETCHER, Miss N.",,Cherbourg,,,,Passenger,Female,1st Class,Southampton,,,405,£1 10s,http://www.encyclopedia-titanica.org/titanic-biography/n-fletcher.html
"LENOX-CONYNGHAM, Miss Alice",,Cherbourg,,,,Passenger,Female,1st Class,Southampton,,,75,£1 10s,http://www.encyclopedia-titanica.org/titanic-biography/alice-lenox-conyngham.html
"COLERIDGE, Mr Reginald Charles",Victim,Not Disembarked,England,29,1883,Passenger,Male,2nd Class,Southampton,Advertising Consultant,Advertising Consultant,14263,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/reginald-charles-coleridge.html
"STOKES, Mr Philip Joseph",Victim,Not Disembarked,England,25,1887,Passenger,Male,2nd Class,Southampton,Bricklayer,Bricklayer,13540,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/philip-joseph-stokes.html
"REEVES, Mr David",Victim,Not Disembarked,England,36,1876,Passenger,Male,2nd Class,Southampton,"Carpenter, Joiner",Carpenter / Joiner,17248,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/david-reeves.html
"PARKER, Mr Clifford Richard",Victim,Not Disembarked,Channel Islands,28,1884,Passenger,Male,2nd Class,Southampton,Clerk,Clerk,14888,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/clifford-richard-parker.html
"MITCHELL, Mr Henry Michael",Victim,Not Disembarked,Channel Islands,71,1841,Passenger,Male,2nd Class,Southampton,Coach Painter,Coach Painter,24580,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/henry-michael-mitchell.html
"PAIN, Dr Alfred",Victim,Not Disembarked,Canada,23,1888,Passenger,Male,2nd Class,Southampton,Doctor,Doctor,244278,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/alfred-pain.html
"LEYSON, Mr Robert William Norman",Victim,Not Disembarked,England,25,1887,Passenger,Male,2nd Class,Southampton,Engineer,Engineer,29566,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/robert-leyson.html
"WHEADON, Mr Edward H.",Victim,Not Disembarked,Channel Islands,66,1846,Passenger,Male,2nd Class,Southampton,Farm Labourer,Farmer,24579,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/edward-wheadon.html
"BAINBRIGGE, Mr Charles Robert",Victim,Not Disembarked,Channel Islands,23,1888,Passenger,Male,2nd Class,Southampton,Horse Trainer,Horse Trainer,31030,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/charles-robert-bainbrigge.html
"OXENHAM, Mr Percy Thomas",Survivor,Not Disembarked,England,22,1889,Passenger,Male,2nd Class,Southampton,Mason,Mason,14260,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/percy-thomas-oxenham.html
"KVILLNER, Mr Johan Henrik Johannesson",Victim,Not Disembarked,Sweden,31,1881,Passenger,Male,2nd Class,Southampton,Mechanical Engineer,Mechanical Engineer,18723,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/johan-henrik-johannesson-kvillner.html
"ANDREW, Mr Frank Thomas",Victim,Not Disembarked,England,25,1886,Passenger,Male,2nd Class,Southampton,Miner,Miner,34050,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/frank-thomas-andrew.html
"BANFIELD, Mr Frederick James",Victim,Not Disembarked,England,28,1884,Passenger,Male,2nd Class,Southampton,Miner,Miner,34068,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/frederick-james-banfield.html
"JENKIN, Mr Stephen Curnow",Victim,Not Disembarked,England,32,1879,Passenger,Male,2nd Class,Southampton,Miner,Miner,33111,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/stephen-curnow-jenkin.html
"PENGELLY, Mr Frederick William",Victim,Not Disembarked,England,19,1892,Passenger,Male,2nd Class,Southampton,Miner,Miner,28665,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/frederick-pengelly.html
"FILLBROOK, Mr Joseph Charles",Victim,Not Disembarked,England,18,1894,Passenger,Male,2nd Class,Southampton,"Painter, Decorator",Painter & Decorator,15185,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/joseph-charles-fillbrook.html
"MELLORS, Mr William John",Survivor,Not Disembarked,England,19,1893,Passenger,Male,2nd Class,Southampton,Salesman,Salesman,751,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/william-mellors.html
"TOOMEY, Miss Ellen Mary",Survivor,Not Disembarked,United States,48,1864,Passenger,Female,2nd Class,Southampton,Servant,Servant,13531,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/ellen-mary-toomey.html
"COLLETT, Mr Sidney Clarence Stuart",Survivor,Not Disembarked,England,25,1887,Passenger,Male,2nd Class,Southampton,,,28034,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/sidney-clarence-stuart-collett.html
"COOK, Mrs Selena",Survivor,Not Disembarked,,22,1890,Passenger,Female,2nd Class,Southampton,,,14266,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/selena-cook.html
"HARRIS, Mr George",Survivor,Not Disembarked,England,62,1850,Passenger,Male,2nd Class,Southampton,,,752,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/george-harris.html
"ILETT, Miss Bertha",Survivor,Not Disembarked,Channel Islands,17,1894,Passenger,Female,2nd Class,Southampton,,,14885,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/bertha-ilett.html
"LEMORE, Mrs Amelia ""Milley""",Survivor,Not Disembarked,United States,34,1873,Passenger,Female,2nd Class,Southampton,,,34260,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/amelia-lemore.html
"NYE, Mrs Elizabeth",Survivor,Not Disembarked,United States,29,1882,Passenger,Female,2nd Class,Southampton,,,29395,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-nye.html
"RIDSDALE, Miss Lucy",Survivor,Not Disembarked,England,58,1854,Passenger,Female,2nd Class,Southampton,,,14258,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/lucy-ridsdale.html
"RUGG, Miss Emily",Survivor,Not Disembarked,Channel Islands,21,1890,Passenger,Female,2nd Class,Southampton,,,31026,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/emily-rugg.html
"TROUTT, Miss Edwina Celia",Survivor,Not Disembarked,England,27,1884,Passenger,Female,2nd Class,Southampton,,,34218,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/edwina-troutt.html
"GAVEY, Mr Laurence",Victim,Not Disembarked,Channel Islands,26,1886,Passenger,Male,2nd Class,Southampton,,,31028,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/laurence-gavey.html
"GILBERT, Mr William",Victim,Not Disembarked,England,47,1865,Passenger,Male,2nd Class,Southampton,,,30769,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/william-gilbert.html
"HARRIS, Mr Walter",Victim,Not Disembarked,England,30,1881,Passenger,Male,2nd Class,Southampton,,,14208,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/walter-harris.html
"MACK, Mrs Mary",Victim,Not Disembarked,England,57,1855,Passenger,Female,2nd Class,Southampton,,,S.O./C. 3,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/mary-mack.html
"MUDD, Mr Thomas Cupper",Victim,Not Disembarked,England,16,1895,Passenger,Male,2nd Class,Southampton,,,S.O./P.P 3,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/thomas-cupper-mudd.html
"ROGERS, Mr Reginald Harry",Victim,Not Disembarked,England,18,1893,Passenger,Male,2nd Class,Southampton,,,28004,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/reginald-harry-rogers.html
"SLEMEN, Mr Richard James",Victim,Not Disembarked,England,35,1876,Passenger,Male,2nd Class,Southampton,,,28206,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/richard-james-slemen.html
"WARE, Mr William Jeffery",Victim,Not Disembarked,England,23,1889,Passenger,Male,2nd Class,Southampton,,,28666,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/william-jeffery-ware.html
"DAHLBERG, Miss Gerda Ulrika",Victim,Not Disembarked,Sweden,22,1890,Passenger,Female,3rd Class,Southampton,,,7552,£10 10s 4d,http://www.encyclopedia-titanica.org/titanic-victim/gerda-ulrika-dahlberg.html
"LAMB, Mr John Joseph",Victim,Not Disembarked,Ireland,30,1881,Passenger,Male,2nd Class,Queenstown,Gentleman,Gentleman,240261,£10 14s 2d,http://www.encyclopedia-titanica.org/titanic-victim/john-joseph-lamb.html
"DAKIC, Mr Branko",Victim,Not Disembarked,,19,1893,Passenger,Male,3rd Class,Southampton,General Labourer,General Labourer,349228,£10 3s 5d,http://www.encyclopedia-titanica.org/titanic-victim/branko-dakic.html
"STRöM, Miss Telma Matilda",Victim,Not Disembarked,United States,2,1910,Passenger,Female,3rd Class,Southampton,,,347054,£10 9s 3d,http://www.encyclopedia-titanica.org/titanic-victim/telma-matilda-strom.html
"STRöM, Mrs Elna Matilda",Victim,Not Disembarked,,29,1882,Passenger,Female,3rd Class,Southampton,,,347054,£10 9s 3d,http://www.encyclopedia-titanica.org/titanic-victim/elna-matilda-strom.html
"HOYT, Mr Frederick Maxfield",Survivor,Not Disembarked,United States,38,1873,Passenger,Male,1st Class,Southampton,,,19943,£100,http://www.encyclopedia-titanica.org/titanic-survivor/frederick-maxfield-hoyt.html
"HOYT, Mrs Jane Anne",Survivor,Not Disembarked,United States,31,1881,Passenger,Female,1st Class,Southampton,,,19943,£100,http://www.encyclopedia-titanica.org/titanic-survivor/jane-anne-hoyt.html
"LEROY, Miss Berthe",Survivor,Not Disembarked,,27,1884,Passenger,Female,1st Class,Cherbourg,Personal Maid,Personal Maid,17761,£106 8s 6d,http://www.encyclopedia-titanica.org/titanic-survivor/berthe-leroy.html
"DOUGLAS, Mrs Mahala",Survivor,Not Disembarked,United States,48,1864,Passenger,Female,1st Class,Cherbourg,,,17761,£106 8s 6d,http://www.encyclopedia-titanica.org/titanic-survivor/mahala-douglas.html
"DOUGLAS, Mr Walter Donald",Victim,Not Disembarked,United States,50,1861,Passenger,Male,1st Class,Cherbourg,,,17761,£106 8s 6d,http://www.encyclopedia-titanica.org/titanic-victim/walter-donald-douglas.html
"PEñASCO Y CASTELLANA, Mrs Maria Josefa Perezde Soto y Vallejo",Survivor,Not Disembarked,Spain,22,1889,Passenger,Female,1st Class,Cherbourg,Of Independent Means,Of Independent Means,17758,£108 18s,http://www.encyclopedia-titanica.org/titanic-survivor/maria-penasco.html
"PEñASCO Y CASTELLANA, Mr Victor",Victim,Not Disembarked,Spain,24,1887,Passenger,Male,1st Class,Cherbourg,Of Independent Means,Of Independent Means,17758,£108 18s,http://www.encyclopedia-titanica.org/titanic-victim/victor-penasco.html
"OLIVA Y OCANA, Doña Fermina",Survivor,Not Disembarked,Spain,39,1872,Passenger,Female,1st Class,Cherbourg,Personal Maid,Personal Maid,17758,£108 18s,http://www.encyclopedia-titanica.org/titanic-survivor/fermina-oliva-y-ocana.html
"HOCKING, Mr Richard George",Victim,Not Disembarked,England,23,1888,Passenger,Male,2nd Class,Southampton,Baker,Baker,29104,£11 10s,http://www.encyclopedia-titanica.org/titanic-victim/richard-hocking.html
"BAILEY, Mr Percy",Victim,Not Disembarked,England,15,1893,Passenger,Male,2nd Class,Southampton,Butcher,Butcher's Assistant,29108,£11 10s,http://www.encyclopedia-titanica.org/titanic-victim/percy-andrew-bailey.html
"COTTERILL, Mr Henry ""Harry""",Victim,Not Disembarked,England,20,1892,Passenger,Male,2nd Class,Southampton,"Carpenter, Joiner",Carpenter / Joiner,29107,£11 10s,http://www.encyclopedia-titanica.org/titanic-victim/harry-cotterill.html
"GILES, Mr Edgar",Victim,Not Disembarked,England,21,1890,Passenger,Male,2nd Class,Southampton,"Carpenter, Joiner",Carpenter / Joiner,28133,£11 10s,http://www.encyclopedia-titanica.org/titanic-victim/edgar-giles.html
"GILES, Mr Frederick Edward",Victim,Not Disembarked,England,20,1891,Passenger,Male,2nd Class,Southampton,"Carpenter, Joiner",Carpenter / Joiner,28134,£11 10s,http://www.encyclopedia-titanica.org/titanic-victim/frederick-edward-giles.html
"ANDREW, Mr Edgar Samuel",Victim,Not Disembarked,Argentina,17,1895,Passenger,Male,2nd Class,Southampton,,,231945,£11 10s,http://www.encyclopedia-titanica.org/titanic-victim/edgar-samuel-andrew.html
"JOHNSON, Master Harold Theodor",Survivor,Not Disembarked,,4,1908,Passenger,Male,3rd Class,Southampton,,,347742,£11 2s 8d,http://www.encyclopedia-titanica.org/titanic-survivor/harold-theodor-johnson.html
"JOHNSON, Miss Eleanor Ileen",Survivor,Not Disembarked,,1,1910,Passenger,Female,3rd Class,Southampton,,,347742,£11 2s 8d,http://www.encyclopedia-titanica.org/titanic-survivor/eleanor-ileen-johnson.html
"JOHNSON, Mrs Elisabeth Vilhelmina",Survivor,Not Disembarked,,26,1885,Passenger,Female,3rd Class,Southampton,,,347742,£11 2s 8d,http://www.encyclopedia-titanica.org/titanic-survivor/elisabeth-vilhelmina-johnson.html
"NICOLA-YARRED, Master Elias (""Louis Garrett"")",Survivor,Not Disembarked,Lebanon,11,1900,Passenger,Male,3rd Class,Cherbourg,,,2651,£11 4s 10d,http://www.encyclopedia-titanica.org/titanic-survivor/elias-louis-garrett-nicola-yarred.html
"NICOLA-YARRED, Miss Jamila (""Amelia Garrett"")",Survivor,Not Disembarked,Lebanon,14,1898,Passenger,Female,3rd Class,Cherbourg,,,2651,£11 4s 10d,http://www.encyclopedia-titanica.org/titanic-survivor/jamila-amelia-garrett-nicola-yarred.html
"THAYER, Mr John Borland",Victim,Not Disembarked,United States,49,1862,Passenger,Male,1st Class,Cherbourg,Businessman,Businessman,17421,£110 17s 8d,http://www.encyclopedia-titanica.org/titanic-victim/john-borland-thayer.html
"FLEMING, Miss Margaret",Survivor,Not Disembarked,,42,1870,Passenger,Female,1st Class,Cherbourg,Personal Maid,Personal Maid,17421,£110 17s 8d,http://www.encyclopedia-titanica.org/titanic-survivor/margaret-fleming.html
"THAYER, Mr John Borland jr",Survivor,Not Disembarked,United States,17,1894,Passenger,Male,1st Class,Cherbourg,Scholar,Scholar,17421,£110 17s 8d,http://www.encyclopedia-titanica.org/titanic-survivor/john-borland-thayer-jr.html
"THAYER, Mrs Marian Longstreth",Survivor,Not Disembarked,United States,39,1872,Passenger,Female,1st Class,Cherbourg,,,17421,£110 17s 8d,http://www.encyclopedia-titanica.org/titanic-survivor/marian-thayer.html
"NEWELL, Miss Madeleine",Survivor,Not Disembarked,United States,31,1880,Passenger,Female,1st Class,Cherbourg,,,35273,£113 5s 6d,http://www.encyclopedia-titanica.org/titanic-survivor/madeleine-newell.html
"NEWELL, Miss Marjorie Anne",Survivor,Not Disembarked,United States,23,1889,Passenger,Female,1st Class,Cherbourg,,,35273,£113 5s 6d,http://www.encyclopedia-titanica.org/titanic-survivor/marjorie-anne-newell.html
"NEWELL, Mr Arthur Webster",Victim,Not Disembarked,United States,58,1854,Passenger,Male,1st Class,Cherbourg,,,35273,£113 5s 6d,http://www.encyclopedia-titanica.org/titanic-victim/arthur-webster-newell.html
"LEHMANN, Miss Bertha",Survivor,Not Disembarked,Switzerland,17,1895,Passenger,Female,2nd Class,Cherbourg,,,1748,£12,http://www.encyclopedia-titanica.org/titanic-survivor/bertha-lehmann.html
"BATEMAN, Fr Robert James",Victim,Not Disembarked,United States,51,1860,Passenger,Male,2nd Class,Southampton,"Priest, Minister",Priest / Minister,1166,£12 10s 6d,http://www.encyclopedia-titanica.org/titanic-victim/robert-james-bateman.html
"TROUT, Mrs Jessie L.",Survivor,Not Disembarked,United States,26,1885,Passenger,Female,2nd Class,Southampton,,,240929,£12 13s,http://www.encyclopedia-titanica.org/titanic-survivor/jessie-trout.html
"PORTALUPPI, Mr Emilio Ilario Giuseppe",Survivor,Not Disembarked,United States,30,1881,Passenger,Male,2nd Class,Cherbourg,,,34644,£12 14s 9d,http://www.encyclopedia-titanica.org/titanic-survivor/emilio-portaluppi.html
"LéVY, Mr René Jacques",Victim,Not Disembarked,Canada,36,1875,Passenger,Male,2nd Class,Southampton,Chemist,Chemist,2163,£12 17s 6d,http://www.encyclopedia-titanica.org/titanic-victim/rene-jacques-levy.html
"WHEELER, Mr Edwin Charles",Victim,Not Disembarked,England,24,1886,Passenger,Male,2nd Class,Southampton,Servant,Servant,2159,£12 17s 6d,http://www.encyclopedia-titanica.org/titanic-victim/edwin-charles-fred-wheeler.html
"KLASéN, Mrs Hulda Kristina Eugenia",Victim,Not Disembarked,Sweden,36,1876,Passenger,Female,3rd Class,Southampton,Housewife,Housewife,350405,£12 3s 8d,http://www.encyclopedia-titanica.org/titanic-victim/hulda-kristina-eugenia-klasen.html
"KLASéN, Miss Gertrud Emilia",Victim,Not Disembarked,Sweden,1,1910,Passenger,Female,3rd Class,Southampton,,,350405,£12 3s 8d,http://www.encyclopedia-titanica.org/titanic-victim/gertrud-emilia-klasen.html
"HUNT, Mr George Henry",Victim,Not Disembarked,England,33,1879,Passenger,Male,2nd Class,Southampton,Gardener,Gardener,1585,£12 5s 6d,http://www.encyclopedia-titanica.org/titanic-victim/george-henry-hunt.html
"HIRVONEN, Miss Hildur Elisabeth",Survivor,Not Disembarked,Finland,2,1910,Passenger,Female,3rd Class,Southampton,,,3101298,£12 5s 9d,http://www.encyclopedia-titanica.org/titanic-survivor/hildur-hirvonen.html
"HIRVONEN, Mrs Helga Elisabeth Lindqvist",Survivor,Not Disembarked,Finland,22,1890,Passenger,Female,3rd Class,Southampton,,,3101298,£12 5s 9d,http://www.encyclopedia-titanica.org/titanic-survivor/helga-hirvonen.html
"LINNANE, Mr John",Victim,Not Disembarked,United States,61,1851,Passenger,Male,2nd Class,Queenstown,Gentleman,Gentleman,235509,£12 7s,http://www.encyclopedia-titanica.org/titanic-victim/john-linnane.html
"KIRKLAND, Fr Charles Leonard",Victim,Not Disembarked,United States,52,1860,Passenger,Male,2nd Class,Queenstown,"Priest, Minister",Priest / Minister,219533,£12 7s,http://www.encyclopedia-titanica.org/titanic-victim/charles-kirkland.html
"KEANE, Miss Nora Agnes",Survivor,Not Disembarked,United States,46,1866,Passenger,Female,2nd Class,Queenstown,,,226593,£12 7s,http://www.encyclopedia-titanica.org/titanic-survivor/nora-keane.html
"SLAYTER, Miss Hilda Mary",Survivor,Not Disembarked,Canada,30,1882,Passenger,Female,2nd Class,Queenstown,,,234818,£12 7s,http://www.encyclopedia-titanica.org/titanic-survivor/hilda-mary-slayter.html
"KEANE, Mr Daniel",Victim,Not Disembarked,Ireland,35,1876,Passenger,Male,2nd Class,Queenstown,,,233734,£12 7s,http://www.encyclopedia-titanica.org/titanic-victim/daniel-keane.html
"DOWDELL, Miss Elizabeth",Survivor,Not Disembarked,United States,31,1880,Passenger,Female,3rd Class,Southampton,Housekeeper,Housekeeper,364516,£12 9s 6d,http://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-dowdell.html
"MOOR, Mrs Beila",Survivor,Not Disembarked,,29,1882,Passenger,Female,3rd Class,Southampton,Tailor,Tailor,392096,£12 9s 6d,http://www.encyclopedia-titanica.org/titanic-survivor/beila-moor.html
"EMANUEL, Miss Virginia Ethel",Survivor,Not Disembarked,United States,5,1907,Passenger,Female,3rd Class,Southampton,,,364516,£12 9s 6d,http://www.encyclopedia-titanica.org/titanic-survivor/virginia-ethel-emanuel.html
"MOOR, Master Meier",Survivor,Not Disembarked,,7,1904,Passenger,Male,3rd Class,Southampton,,,392096,£12 9s 6d,http://www.encyclopedia-titanica.org/titanic-survivor/meier-moor.html
"CARTER, Master William Thornton II",Survivor,Not Disembarked,United States,11,1900,Passenger,Male,1st Class,Southampton,,,113760,£120,http://www.encyclopedia-titanica.org/titanic-survivor/william-thornton-carter.html
"CARTER, Miss Lucile Polk",Survivor,Not Disembarked,United States,13,1898,Passenger,Female,1st Class,Southampton,,,113760,£120,http://www.encyclopedia-titanica.org/titanic-survivor/lucile-polk-carter.html
"CARTER, Mr William Ernest",Survivor,Not Disembarked,United States,36,1875,Passenger,Male,1st Class,Southampton,,,113760,£120,http://www.encyclopedia-titanica.org/titanic-survivor/william-carter.html
"CARTER, Mrs Lucile",Survivor,Not Disembarked,United States,36,1875,Passenger,Female,1st Class,Southampton,,,113760,£120,http://www.encyclopedia-titanica.org/titanic-survivor/lucile-carter.html
"MEYER, Mr August",Victim,Not Disembarked,England,31,1880,Passenger,Male,2nd Class,Southampton,Baker,Baker,248723,£13,http://www.encyclopedia-titanica.org/titanic-victim/august-meyer.html
"ALDWORTH, Mr Charles Augustus",Victim,Not Disembarked,United States,30,1882,Passenger,Male,2nd Class,Southampton,Chauffeur,Chauffeur,248744,£13,http://www.encyclopedia-titanica.org/titanic-victim/charles-augustus-aldworth.html
"GILL, Mr John William",Victim,Not Disembarked,England,24,1888,Passenger,Male,2nd Class,Southampton,Chauffeur,Chauffeur,233866,£13,http://www.encyclopedia-titanica.org/titanic-victim/john-william-gill.html
"SWANE, Mr George",Victim,Not Disembarked,England,19,1892,Passenger,Male,2nd Class,Southampton,Chauffeur,Chauffeur,248734,£13,http://www.encyclopedia-titanica.org/titanic-victim/george-swane.html
"MATTHEWS, Mr William John",Victim,Not Disembarked,England,30,1881,Passenger,Male,2nd Class,Southampton,China Clay Worker,China Clay Worker,28228,£13,http://www.encyclopedia-titanica.org/titanic-victim/william-john-matthews.html
"HARBECK, Mr William H.",Victim,Not Disembarked,United States,44,1868,Passenger,Male,2nd Class,Southampton,Cinematographer,Cinematographer,248746,£13,http://www.encyclopedia-titanica.org/titanic-victim/william-harbeck.html
"HOSONO, Mr Masabumi",Survivor,Not Disembarked,Japan,41,1870,Passenger,Male,2nd Class,Southampton,Civil Servant,Civil Servant,237798,£13,http://www.encyclopedia-titanica.org/titanic-survivor/masabumi-hosono.html
"GILLESPIE, Mr William Henry",Victim,Not Disembarked,Ireland,31,1880,Passenger,Male,2nd Class,Southampton,Clerk,Clerk,12233,£13,http://www.encyclopedia-titanica.org/titanic-victim/william-henry-gillespie.html
"BROWN, Miss Amelia Mary",Survivor,Not Disembarked,England,18,1893,Passenger,Female,2nd Class,Southampton,Cook,Cook (Personal),248733,£13,http://www.encyclopedia-titanica.org/titanic-survivor/mildred-brown.html
"NESSON, Mr Israel",Victim,Not Disembarked,England,26,1886,Passenger,Male,2nd Class,Southampton,Electrician,Electrician,244368,£13,http://www.encyclopedia-titanica.org/titanic-victim/israel-nesson.html
"HALE, Mr Reginald",Victim,Not Disembarked,United States,30,1882,Passenger,Male,2nd Class,Southampton,Gardener,Gardener,250653,£13,http://www.encyclopedia-titanica.org/titanic-victim/reginald-hale.html
"MILLING, Mr Jacob Christian",Victim,Not Disembarked,Denmark,48,1863,Passenger,Male,2nd Class,Southampton,Machine Inspector,Machine Inspector,234360,£13,http://www.encyclopedia-titanica.org/titanic-victim/jacob-christian-milling.html
"BUTLER, Mr Reginald Fenton",Victim,Not Disembarked,England,25,1887,Passenger,Male,2nd Class,Southampton,Mechanical Engineer,Mechanical Engineer,234686,£13,http://www.encyclopedia-titanica.org/titanic-victim/reginald-fenton-butler.html
"BOWENUR, Mr Solomon",Victim,Not Disembarked,,42,1870,Passenger,Male,2nd Class,Southampton,Merchant,Merchant,211535,£13,http://www.encyclopedia-titanica.org/titanic-victim/solomon-bowenur.html
"CARBINES, Mr William",Victim,Not Disembarked,England,19,1893,Passenger,Male,2nd Class,Southampton,Miner,Miner,28424,£13,http://www.encyclopedia-titanica.org/titanic-victim/william-carbines.html
"FUNK, Miss Annie Clemmer",Victim,Not Disembarked,India,38,1874,Passenger,Female,2nd Class,Southampton,Missionary,Missionary,237671,£13,http://www.encyclopedia-titanica.org/titanic-victim/annie-clemmer-funk.html
"HODGES, Mr Henry Price",Victim,Not Disembarked,England,50,1862,Passenger,Male,2nd Class,Southampton,Musical Instrument Vendor,Musical Instrument Vendor,250643,£13,http://www.encyclopedia-titanica.org/titanic-victim/henry-price-hodges.html
"CORBETT, Mrs Irene",Victim,Not Disembarked,United States,30,1881,Passenger,Female,2nd Class,Southampton,Musician,Musician,237249,£13,http://www.encyclopedia-titanica.org/titanic-victim/irene-corbett.html
"MCCRIE, Mr James Matthew",Victim,Not Disembarked,Canada,32,1879,Passenger,Male,2nd Class,Southampton,Oil Worker,Oil Worker,233478,£13,http://www.encyclopedia-titanica.org/titanic-victim/james-matthew-mccrie.html
"HOCKING, Mr Samuel James Metcalfe",Victim,Not Disembarked,England,36,1876,Passenger,Male,2nd Class,Southampton,"Painter, Decorator",Painter & Decorator,242963,£13,http://www.encyclopedia-titanica.org/titanic-victim/samuel-hocking.html
"BYLES, Fr Thomas Roussel Davids",Victim,Not Disembarked,England,42,1870,Passenger,Male,2nd Class,Southampton,"Priest, Minister",Priest / Minister,244310,£13,http://www.encyclopedia-titanica.org/titanic-victim/fr-byles.html
"MONTVILA, Fr Juozas",Victim,Not Disembarked,England,27,1885,Passenger,Male,2nd Class,Southampton,"Priest, Minister",Priest / Minister,211536,£13,http://www.encyclopedia-titanica.org/titanic-victim/juozas-montvila.html
"PERUSCHITZ, Fr Josef",Victim,Not Disembarked,Germany,41,1871,Passenger,Male,2nd Class,Southampton,"Priest, Minister",Priest / Minister,237393,£13,http://www.encyclopedia-titanica.org/titanic-victim/josef-peruschitz.html
"SOBEY, Mr Samuel James Hayden",Victim,Not Disembarked,England,25,1886,Passenger,Male,2nd Class,Southampton,Quarryman,Quarryman,29178,£13,http://www.encyclopedia-titanica.org/titanic-victim/samuel-james-hayden-sobey.html
"TROUPIANSKY, Mr Moses Aaron",Victim,Not Disembarked,England,23,1889,Passenger,Male,2nd Class,Southampton,Shop Assistant,Shop Assistant,233639,£13,http://www.encyclopedia-titanica.org/titanic-victim/moses-aaron-troupiansky.html
"WILLIAMS, Mr Charles Eugene",Survivor,Not Disembarked,England,23,1888,Passenger,Male,2nd Class,Southampton,Sportsman,Sportsman,244373,£13,http://www.encyclopedia-titanica.org/titanic-survivor/charles-eugene-williams.html
"BRACKEN, Mr James H.",Victim,Not Disembarked,United States,29,1881,Passenger,Male,2nd Class,Southampton,Stockman,Stockman,220367,£13,http://www.encyclopedia-titanica.org/titanic-victim/james-bracken.html
"OTTER, Mr Richard",Victim,Not Disembarked,United States,38,1873,Passenger,Male,2nd Class,Southampton,Stone Cutter,Stone Cutter,28213,£13,http://www.encyclopedia-titanica.org/titanic-victim/richard-otter.html
"BEESLEY, Mr Lawrence",Survivor,Not Disembarked,England,34,1877,Passenger,Male,2nd Class,Southampton,Teacher,Teacher,248698,£13,http://www.encyclopedia-titanica.org/titanic-survivor/lawrence-beesley.html
"BALL, Mrs Ada E.",Survivor,Not Disembarked,England,36,1875,Passenger,Female,2nd Class,Southampton,,,28551,£13,http://www.encyclopedia-titanica.org/titanic-survivor/ada-ball.html
