Movie,Country,Year,Production Costs,Movie Profile,Image,Description
Baarìa,Italy,2009,"$30,000,000",http://en.wikipedia.org/wiki/Baar%C3%ACa_(film),http://upload.wikimedia.org/wikipedia/en/7/78/Baaria_poster_2009.jpg,Baarìa is a 2009 Italian film directed by Giuseppe Tornatore. It was the opening film of the 66th Venice International Film Festival in September 2009.
Beauty and the Beast,France,2014,"$48,100,000",http://en.wikipedia.org/wiki/Beauty_and_the_Beast_(2014_film),http://upload.wikimedia.org/wikipedia/en/d/dd/Beauty-and-the-beast-poster-2014.png,"Beauty and the Beast (French: La belle et la bête) is a Franco-German romanticfantasy film based on the traditional fairy tale of the same name by Gabrielle-Suzanne Barbot de Villeneuve. Directed and co-written by Christophe Gans, the film stars Vincent Cassel and Léa Seydoux. It was released in France on 12 February 2014, and was screened out of competition at the 64th Berlin International Film Festival. The film has been nominated for the People's Choice Award at the 27th European Film Awards."
Bon Voyage,France,2003,"$31,000,000",http://en.wikipedia.org/wiki/Bon_Voyage_(2003_film),http://upload.wikimedia.org/wikipedia/en/5/59/Bon_voyage_affiche.jpg,Bon Voyage is a 2003 French film directed by Jean-Paul Rappeneau starring Isabelle Adjani and Gérard Depardieu.
Che,"United States, France, Spain",2008,"$58,000,000",http://en.wikipedia.org/wiki/Che_(film),http://upload.wikimedia.org/wikipedia/en/8/84/Che-movie-poster2.jpg,"Che is a two-part 2008 biopic about Argentine-CubanMarxistrevolutionaryErnesto ""Che"" Guevara, directed by Steven Soderbergh and starring Benicio del Toro. Rather than follow a standard chronological order, the films offer an oblique series of interspersed moments along the overall timeline. Part One is entitled The Argentine and focuses on the Cuban Revolution from the landing of Fidel Castro, Guevara, and other revolutionaries in Cuba to their successful toppling of Fulgencio Batistas dictatorship two years later. Part Two is entitled Guerrilla and focuses on Guevara's attempt to bring revolution to Bolivia and his demise. Both parts are shot in a cinéma vérité style, but each has different approaches to linearnarrative, camerawork, and the visual look."
Chennai Express,India,2013,"$70,000,000",http://en.wikipedia.org/wiki/Chennai_Express,http://upload.wikimedia.org/wikipedia/en/1/1b/Chennai_Express.jpg,"Chennai Expressi/tʃɨˈnaɪ//ɪkˈsprɛs/ is a 2013 Indianactioncomedy film directed by Rohit Shetty and produced by Gauri Khan for Red Chillies Entertainment. The film features Shahrukh Khan and Deepika Padukone in lead roles; it is the second collaboration between Khan and Padukone after Om Shanti Om (2007). It is about a man's journey from Mumbai to Rameshwaram and what happens along the way after he falls in love with the daughter of a local don. Principal photography began on 27 September 2012, filming began in October 2012 and was completed by May 2013."
Crimson Rivers II: Angels of the Apocalypse,France,2004,"$46,430,000",http://en.wikipedia.org/wiki/Crimson_Rivers_II:_Angels_of_the_Apocalypse,http://upload.wikimedia.org/wikipedia/en/8/85/Crimson_Rivers_II_DVD_cover.jpg,"Crimson Rivers II: Angels of the Apocalypse, known as Les Rivières pourpres II: Les anges de l'apocalypse in the French release, is a 2004 thriller-action movie starring Jean Reno, Benoit Magimel and Christopher Lee. It is directed by Olivier Dahan and produced by Ilan Goldman. The movie is the sequel to the 2000 film, The Crimson Rivers, also known as Les Rivières pourpres in the French release. The movie is inspired by the book Les rivières pourpres by writer Jean-Christophe Grangé."
Curse of the Golden Flower,China,2006,"$45,000,000",http://en.wikipedia.org/wiki/Curse_of_the_Golden_Flower,http://upload.wikimedia.org/wikipedia/en/f/fd/Curseofgoldenflower.jpg,Curse of the Golden Flower is a 2006 Chinese epic drama film written and directed by Zhang Yimou.
D-War,South Korea,2007,"$70,000,000",http://en.wikipedia.org/wiki/D-War,http://upload.wikimedia.org/wikipedia/en/9/91/Dragon_Wars_poster.jpg,"D-War (Korean: 디워), is a 2007 South Korean fantasyaction film released in North America as Dragon Wars: D-War and D-War: Dragon Wars, in Malaysia as War of the Dragons, and sometimes referred to colloquially and in some marketing materials as Dragon Wars. It is written and directed by Shim Hyung-rae. This was Korea's largest-budgeted film as of 2007."
Dhoom 3,India,2013,"$88,000,000",http://en.wikipedia.org/wiki/Dhoom_3,http://upload.wikimedia.org/wikipedia/en/f/f1/Dhoom_3_Film_Poster.jpg,"Dhoom: 3 ([ˈd̪ʱuːm 3], English: Blast 3, also abbreviated and known as D:3 and D3) is a 2013 IndianactionthrillerHeist film, written and directed by Vijay Krishna Acharya and produced by Aditya Chopra. The third installment of the Dhoom series, it features Aamir Khan as the antagonist paired opposite Katrina Kaif. Actors Abhishek Bachchan and Uday Chopra reprise their roles as Jai Dixit and Ali Akbar, respectively, as in the previous movies of the franchise. Made on a budget of 1.25 billion (US$21 million), the most expensive Bollywood film of all time,Dhoom 3 was released on 20 December 2013, with Dolby Atmos surround sound."
Dragon Blade,China,2015,"$65,000,000",http://en.wikipedia.org/wiki/Dragon_Blade_(film),http://upload.wikimedia.org/wikipedia/en/0/04/DragonBladefilm.jpg,"Dragon Blade is an upcoming Chinesehistoricalaction film written and directed by Daniel Lee and starring Jackie Chan. In the film, Chan will play Huo An, the commander of the Protection Squad of the Western Regions during the Han Dynasty. Dragon Blade is set for release in IMAX 3D on 19 February 2015, the first day Chinese New Year holiday period."
