Movie,Country,Year,Production Costs,Movie Profile,Image,Description
The Grandmaster,"China, Hong Kong",2007,"$38,600,000",http://en.wikipedia.org/wiki/The_Grandmaster_(film),http://upload.wikimedia.org/wikipedia/en/2/23/The_Grandmaster_poster.jpg,"The Grandmaster is a 2013 Hong Kong-Chinese martial arts drama film based on the life story of the Wing ChungrandmasterIp Man. The film was directed and written by Wong Kar-wai and stars Tony Leung as Ip Man. It was released on 8 January 2013 in China. It was the opening film at the 63rd Berlin International Film Festival in February 2013. The film was selected as part of the 2013 Hong Kong International Film Festival.The Weinstein Company acquired the international distribution rights for the film. The film has been selected as the Hong Kong entry for the Best Foreign Language Film at the 86th Academy Awards, making the January shortlist, but did not get the nomination. The film was nominated for Best Cinematography (Philippe Le Sourd) and Best Costume Design (William Chang Suk Ping) at the 86th Academy Awards."
The Inhabited Island,Russia,2008,"$36,600,000",http://en.wikipedia.org/wiki/The_Inhabited_Island,http://upload.wikimedia.org/wikipedia/en/9/93/The_Inhabited_Island_Poster.jpg,"The Inhabited Island (Russian: Обитаемый остров) is a science fiction film directed by Fyodor Bondarchuk. The film was adapted by Marina and Sergey Dyachenko from the 1969 novel by Arkady and Boris Strugatsky of the same Russian name, published in English as Prisoners of Power; a part of Noon Universe series. It is a dystopian story set on post-apocalyptic planet Saraksh, ruled by totalitarian regime that brainwashes its citizens. Maxim Kammerer, a space explorer from Earth, crash lands on Saraksh and becomes involved in the planet's everboiling politics. Due to the length of the story, the film was split in two parts: the first premiered on December 18, 2008 and the second on April 23, 2009."
The Legend of Zu,Hong Kong,2001,"$35,000,000",http://en.wikipedia.org/wiki/The_Legend_of_Zu,http://upload.wikimedia.org/wikipedia/en/3/3f/Zu-warriors-2001-poster.jpg,"The Legend of Zu, also known as Zu Warriors in the United States, is a 2001 Hong Kong film produced and directed by Tsui Hark. The film starred Ekin Cheng, Louis Koo, Cecilia Cheung, Patrick Tam, Zhang Ziyi and Sammo Hung. It is based on the same source as the 1983 film Zu Warriors from the Magic Mountain."
The Monkey King,"China, Hong Kong",2014,"$82,500,000",http://en.wikipedia.org/wiki/The_Monkey_King_(film),http://upload.wikimedia.org/wikipedia/en/c/ca/TheMonkeyKing.jpg,"The Monkey King is a 2014 Hong Kong-Chinesefantasy film directed by Cheang Pou-soi and starring Donnie Yen as the titular protagonist. Yen also serves as the film's action director. Production began in Beijing on 18 October 2010 and was filmed in 3D. The plot is based on an episode of Journey to the West, a Chinese literaryclassic written in the Ming Dynasty by Wu Cheng'en. It was released on 31 January 2014."
The Passion of the Christ,United States,2004,"$30,000,000",http://en.wikipedia.org/wiki/The_Passion_of_the_Christ,http://upload.wikimedia.org/wikipedia/en/6/61/Thepassionposterface-1-.jpg,"The Passion of the Christ (sometimes referred to as The Passion) is a 2004 American epicbiblicaldrama film directed by Mel Gibson and starring Jim Caviezel as Jesus Christ. It depicts the Passion of Jesus largely according to the New TestamentGospels of Matthew, Mark, Luke and John. It also draws on pious accounts such as the Friday of Sorrows along with other devotional writings, such as those attributed to Blessed Anne Catherine Emmerich."
The Promise,China,2005,"$40,000,000",http://en.wikipedia.org/wiki/The_Promise_(2005_film),http://upload.wikimedia.org/wikipedia/en/7/72/The_Promise_film.jpg,"The Promise is a 2005 Chinese epic fantasy film directed by Chen Kaige and starring Jang Dong-gun, Hiroyuki Sanada, Cecilia Cheung and Nicholas Tse. The film is based on the wuxiaromanceThe Kunlun Slave, written by Pei Xing at the time of the Tang Dynasty."
The Stone Council,France,2006,"$34,000,000",,http://www.impawards.com/intl/france/2006/posters/concile_de_pierre_xlg.jpg,
The Tale of Princess Kaguya,Japan,2011,"$49,300,000",http://en.wikipedia.org/wiki/The_Tale_of_Princess_Kaguya_(film),http://upload.wikimedia.org/wikipedia/en/b/bb/Kaguya-Hime_no_Monogatari_poster.jpg,"The Tale of Princess Kaguya(かぐや姫の物語,Kaguya-hime no Monogatari?) is a 2013 Japanese animated film produced by Studio Ghibli, and directed and co-written by Isao Takahata, based on the folktale The Tale of the Bamboo Cutter. This is Takahata's fifth film for Studio Ghibli, and his first in 14 years since his 1999 feature, My Neighbors the Yamadas."
The Tiger and the Snow,Italy,2005,"$35,000,000",http://en.wikipedia.org/wiki/The_Tiger_and_the_Snow,http://upload.wikimedia.org/wikipedia/en/f/fe/TheTigerAndTheSnow.jpg,La tigre e la neve (English: The Tiger and the Snow) is a 2005 Italian movie starring and directed by Roberto Benigni.
The Tiger Brigades,France,2006,"$38,000,000",http://en.wikipedia.org/wiki/The_Tiger_Brigades,http://upload.wikimedia.org/wikipedia/en/a/a4/Brigades_du_Tigre.jpg,"Les Brigades du Tigre (English: Tiger Squad) is a 2006Frenchcrime film, based on a very successful 1970s-'80s French television series of the same name. The story involves an Untouchables-type crack ""Flying Squad"" formed by Georges Clemenceau to combat rampant crime in 1912 Paris. The squads became known to the public as ""Tiger Brigades"", after Clemenceau's nickname ""Le Tigre"", and were among the first police units to be equipped with automobiles and seriously trained to savate techniques."
The Warlords,"China, Hong Kong",2007,"$40,000,000",http://en.wikipedia.org/wiki/The_Warlords,http://upload.wikimedia.org/wikipedia/en/3/39/Warlords_2007_poster.jpg,"The Warlords, previously known as The Blood Brothers, is a 2007 epic war film directed by Peter Chan and starring Jet Li, Andy Lau, Takeshi Kaneshiro and Xu Jinglei. The film was released on December 13, 2007 simultaneously in most of Asia, except Japan. The film is set in the 1860s, during the Taiping Rebellion in the late Qing Dynasty in China and centers on the sworn brotherhood of three men."
Treasured Island,France,2007,"$38,500,000",,http://content8.flixster.com/movie/10/87/04/10870454_det.jpg,
Un plan parfait,France,2012,"$33,650,000",http://en.wikipedia.org/wiki/Un_plan_parfait,http://upload.wikimedia.org/wikipedia/en/6/6e/Un_plan_parfait_2012_poster.jpg,"Un plan parfait (English: A perfect plan) is a 2012 French action adventure comedy film directed by Pascal Chaumeil and starring Diane Kruger, Dany Boon, and Alice Pol. Written by Laurent Zeitoun and Yoann Gromb, and based on a story by Philippe Mechelen, the film is about a successful woman in love who tries to break her family curse of every first marriage ending in divorce, by dashing to the altar with a random stranger before marrying her boyfriend."
War and Peace,Soviet Union,1966/67,"$67,000,000",http://en.wikipedia.org/wiki/War_and_Peace_(film_series),http://upload.wikimedia.org/wikipedia/en/d/d6/War_and_Peace_poster%2C_1967.jpg,"War and Peace (Russian: Война́ и мир, trans.Voyna i mir) is a Soviet film adaptation of Leo Tolstoys novel War and Peace, released in four parts during 1966 and 1967. Sergei Bondarchuk directed the series, co-wrote the script and starred in the leading role of Pierre Bezukhov, alongside Vyacheslav Tikhonov and Ludmila Savelyeva, who depicted Prince Andrei Bolkonsky and Natasha Rostova."
Wonderful Days,South Korea,2003,"$30,000,000",http://en.wikipedia.org/wiki/Wonderful_Days,http://upload.wikimedia.org/wikipedia/en/c/cb/Wonderful_Days_movie_poster.jpg,"Wonderful Days (also known as Sky Blue) is a South Koreananimatedscience fiction film, released in 2003, written and directed by Kim Moon-saeng. It features backdrops rendered using photo-realistic computer-generated imagery, comparable to those in the film Final Fantasy: The Spirits Within, along with the use of highly detailed models for some of the backdrops into which the cel animated characters were then animated. However, convincing CGI animation of humans (especially human movement) was not attempted. The backgrounds in the film were shot with traditional motion control techniques, then processed to look like CG. The vehicles were all rendered, and the characters were cel animated."
Zhong Kui: Snow Girl and the Dark Crystal,China,2015,"$33,000,000",http://en.wikipedia.org/wiki/Zhong_Kui:_Snow_Girl_and_the_Dark_Crystal,http://upload.wikimedia.org/wikipedia/en/f/f4/Zhong_Kui-_Snow_Girl_and_the_Dark_Crystal_poster.jpg,"Zhong Kui: Snow Girl and the Dark Crystal (Chinese: 钟馗伏魔：雪妖魔灵) is a 2015 Chinese 3D fantasy-adventure film directed by Zhao Tianyu and starring Chen Kun and Li Bingbing. Production began on February 16, 2014. The film is slated for release on February 19, 2015."
