Name,Number of Hurricanes/Typhoons/Cyclones,Gender,Years,Type of storms,Areas,Area in list for 2015 (US)
Namtheun,2,Male,"2004, 2010","Typhoon, Tropical Storm",Western Pacific,
Wukong,2,Male,"2000, 2006","Typhoon, Tropical Storm",Western Pacific,
Conson,2,Female,"2004, 2010",Typhoon,Western Pacific,
Meranti,2,Female,"2010, 2004",Typhoon,Western Pacific,
Chanthu,2,Male,"2004, 2010",Typhoon,Western Pacific,
Chebi,2,Male,"2006, 2001",Typhoon,Western Pacific,
Nock ten,2,Male,"2004, 2011",Typhoon,Western Pacific,
Prapiroon,2,Male,"2000, 2006",Typhoon,Western Pacific,
Sepat,3,Female,"2007, 2013, 2001","Super Typhoon, Tropical Storm",Western Pacific,
Man yi,3,Female,"2007, 2013, 2001","Super Typhoon, Tropical Storm, Typhoon",Western Pacific,
Faxai,3,Male,"2001, 2007, 2014","Super Typhoon, Tropical Storm, Typhoon",Western Pacific,
Francisco,3,Male,"2013, 2001, 2007","Super Typhoon, Typhoon, Tropical Storm",Western Pacific,
Wutip,3,Male,"2001, 2013, 2007","Super Typhoon, Typhoon, Tropical Storm",Western Pacific,
Lekima,3,Male,"2013, 2001, 2007","Super Typhoon, Typhoon, Typhoon",Western Pacific,
Utor,3,Male,"2013, 2006, 2001","Super Typhoon, Typhoon",Western Pacific,
Usagi,3,Female,"2001, 2013, 2007","Tropical Storm, Super Typhoon, Typhoon",Western Pacific,
Yagi,3,Female,"2013, 2006, 2000","Tropical Storm, Super Typhoon, Typhoon",Western Pacific,
Hagibis,3,Male,"2014, 2002, 2007","Tropical Storm, Super Typhoon, Typhoon",Western Pacific,
Trami,3,Female,"2001, 2006, 2013","Tropical Storm, Tropical Depression, Typhoon",Western Pacific,
Cimaron,3,Female,"2001, 2013, 2006","Tropical Storm, Super Typhoon",Western Pacific,
Danas,3,Male,"2007, 2001, 2013","Tropical Storm, Typhoon, Super Typhoon",Western Pacific,
Bebinca,3,Female,"2013, 2000, 2006","Typhoon, Tropical Storm",Western Pacific,
Kajiki,3,Male,"2014, 2007, 2001","Typhoon, Tropical Storm",Western Pacific,
Toraji,3,Male,"2007, 2001, 2013","Typhoon, Tropical Storm",Western Pacific,
Fitow,3,Female,"2001, 2013, 2007","Typhoon, Tropical Storm",Western Pacific,
Krosa,3,Female,"2013, 2007, 2001","Typhoon, Super Typhoon",Western Pacific,
Lingling,3,Female,"2001, 2007, 2014","Typhoon, Tropical Storm",Western Pacific,
Rumbia,3,Male,"2013, 2000, 2006","Typhoon, Tropical Storm",Western Pacific,
Sonamu,3,Male,"2000, 2006, 2013","Typhoon, Tropical Storm",Western Pacific,
Kong rey,3,Male,"2001, 2013, 2007","Typhoon, Tropical Storm",Western Pacific,
Nari,3,Female,"2013, 2007, 2001",Typhoon,Western Pacific,
Pabuk,3,Female,"2001, 2013, 2007",Typhoon,Western Pacific,
Soulik,4,Male,"2013, 2006, 2000, 2000, 2001","Super Typhoon, Typhoon, Tropical Storm",Western Pacific,
Agni,1,Female,2004,Cyclone,Northern Indian,
Aila,1,Female,2009,Cyclone,Northern Indian,
Laila,1,Female,2010,Cyclone,Northern Indian,
Mala,1,Female,2006,Cyclone,Northern Indian,
Nargis,1,Female,2008,Cyclone,Northern Indian,
Phet,1,Female,2010,Cyclone,Northern Indian,
