ID,Brand,Place of sample acquisitions,"Peroxide Value, Extra Virgin Limits?",Peroxide Value,Peroxide Value - Extra Virgin is less than,"UV Absorption, K232, Extra Virgin Limits?","UV Absorption, K232","UV Absorption, K232 - Extra Virgin is less than","UV Absorption, K268, Extra Virgin Limits?","UV Absorption, K268","UV Absorption, K268 - Extra Virgin is less than","UV Absorption, ΔK, Extra Virgin Limits?","UV Absorption, ΔK","UV Absorption, ΔK - Extra Virgin is less than","Free Fatty Acids, Extra Virgin Limits?",Free Fatty Acids,Free Fatty Acids - Extra Virgin is less than,"Stigmastadiene, Extra Virgin Limits?",Stigmastadiene,Stigmastadiene - Extra Virgin is less than,"Total Polyphenol Content, Extra Virgin Limits?",Total Polyphenol Content,"Pyropheophytins, Extra Virgin Limits?",Pyropheophytins,Pyropheophytins - Extra Virgin is less than,"1,2-Diacylglycerol Content, Extra Virgin Limits?","1,2-Diacylglycerol Content","1,2-Diacylglycerol Content  - Extra Virgin is more than","Sensory, Extra Virgin Limits?",Sensory,Imported?,Failed Analysis,Number of failed tests
Corto Olive - Sacramento County,Corto Olive,Sacramento County,Yes,7,20,Yes,1.73,2.51,Yes,0.11,0.23,Yes,<0.003,0.011,Yes,0.19,0.81,Yes,<0.03,0.11,N/A,82,Yes,8.1,16,Yes,59.3,39.9,Yes,Extra Virgin,California Brand,None,0
Corto Olive - San Francisco Bay Area,Corto Olive,San Francisco Bay Area,Yes,9,20,Yes,1.74,2.51,Yes,0.1,0.23,Yes,<0.003,0.011,Yes,0.2,0.81,Yes,<0.03,0.11,N/A,77,Yes,8.1,16,Yes,59.1,39.9,Yes,Extra Virgin,California Brand,None,0
Filippo Berio - Los Angeles County,Filippo Berio,Los Angeles County,Yes,11,20,Yes,2.12,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.35,0.81,Yes,<0.03,0.11,N/A,247,Yes,13.7,16,Yes,42,39.9,No,Virgin,Imported,Sensory,1
Filippo Berio - Sacramento County,Filippo Berio,Sacramento County,Yes,11,20,Yes,2.46,2.51,Yes,0.18,0.23,Yes,<0.003,0.011,Yes,0.3,0.81,Yes,<0.03,0.11,N/A,200,Yes,10.3,16,Yes,42.2,39.9,Yes,Extra Virgin,Imported,None,0
Filippo Berio - San Francisco Bay Area,Filippo Berio,San Francisco Bay Area,Yes,12,20,Yes,2.18,2.51,Yes,0.14,0.23,Yes,<0.003,0.011,Yes,0.37,0.81,Yes,<0.03,0.11,N/A,212,Yes,12,16,Yes,40.7,39.9,No,Virgin,Imported,Sensory,1
Great Value 100% - Los Angeles County,Great Value 100%,Los Angeles County,Yes,10,20,Yes,2.18,2.51,Yes,0.14,0.23,Yes,<0.003,0.011,Yes,0.57,0.81,Yes,<0.03,0.11,N/A,185,Yes,10,16,Yes,45.3,39.9,No,Virgin,Imported,Sensory,1
Great Value 100% - Sacramento County,Great Value 100%,Sacramento County,Yes,11,20,Yes,2.23,2.51,Yes,0.13,0.23,Yes,<0.003,0.011,Yes,0.35,0.81,Yes,0.05,0.11,N/A,161,Yes,12.4,16,Yes,45.3,39.9,Yes,Extra Virgin,Imported,None,0
Great Value 100% - San Francisco Bay Area,Great Value 100%,San Francisco Bay Area,Yes,11,20,Yes,2.23,2.51,Yes,0.13,0.23,Yes,<0.003,0.011,Yes,0.33,0.81,Yes,0.05,0.11,N/A,163,Yes,12.7,16,Yes,44.6,39.9,Yes,Extra Virgin,Imported,None,0
Kirkland Organic - Los Angeles County,Kirkland Organic,Los Angeles County,Yes,7,20,Yes,2.1,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.27,0.81,Yes,<0.03,0.11,N/A,292,Yes,11.8,16,Yes,55.6,39.9,Yes,Extra Virgin,Imported,None,0
Kirkland Organic - Sacramento County,Kirkland Organic,Sacramento County,Yes,9,20,Yes,2.24,2.51,Yes,0.16,0.23,Yes,<0.003,0.011,Yes,0.33,0.81,Yes,<0.03,0.11,N/A,244,No,16.7,16,Yes,42.8,39.9,Yes,Extra Virgin,Imported,Pyropheophytins,1
Kirkland Organic - San Francisco Bay Area,Kirkland Organic,San Francisco Bay Area,Yes,8,20,Yes,2.13,2.51,Yes,0.16,0.23,Yes,<0.003,0.011,Yes,0.26,0.81,Yes,<0.03,0.11,N/A,298,Yes,8.8,16,Yes,57.4,39.9,Yes,Extra Virgin,Imported,None,0
Lucero (Ascolano) - Sacramento County,Lucero (Ascolano),Sacramento County,Yes,10,20,Yes,2.08,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.28,0.81,Yes,<0.03,0.11,N/A,234,Yes,9.4,16,Yes,54.8,39.9,Yes,Extra Virgin,California Brand,None,0
Lucero (Ascolano) - San Francisco Bay Area,Lucero (Ascolano),San Francisco Bay Area,Yes,13,20,Yes,2.08,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.3,0.81,Yes,<0.03,0.11,N/A,238,Yes,9.4,16,Yes,54.6,39.9,Yes,Extra Virgin,California Brand,None,0
Mazola - Los Angeles County,Mazola,Los Angeles County,Yes,15,20,No,3.14,2.51,Yes,0.17,0.23,Yes,<0.003,0.011,Yes,0.5,0.81,Yes,<0.03,0.11,N/A,103,Yes,14,16,No,39,39.9,No,Virgin,Imported,"UV Absorption | 1,2-Diacylglycerol Content | Sensory",3
Mazola - Sacramento County,Mazola,Sacramento County,Yes,13,20,No,2.65,2.51,Yes,0.19,0.23,Yes,<0.003,0.011,Yes,0.65,0.81,Yes,<0.03,0.11,N/A,152,No,21.7,16,No,31.4,39.9,No,Virgin,Imported,"UV Absorption | Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",4
Mazola - San Francisco Bay Area,Mazola,San Francisco Bay Area,Yes,12,20,No,2.7,2.51,Yes,0.19,0.23,Yes,<0.003,0.011,Yes,0.65,0.81,Yes,<0.03,0.11,N/A,159,No,21.7,16,No,30.1,39.9,No,Virgin,Imported,"UV Absorption | Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",4
McEvoy Ranch Organic - Sacramento County,McEvoy Ranch Organic,Sacramento County,Yes,7,20,Yes,2.05,2.51,Yes,0.13,0.23,Yes,<0.003,0.011,Yes,0.16,0.81,Yes,<0.03,0.11,N/A,380,Yes,5,16,Yes,82.6,39.9,Yes,Extra Virgin,California Brand,None,0
McEvoy Ranch Organic - San Francisco Bay Area,McEvoy Ranch Organic,San Francisco Bay Area,Yes,7,20,Yes,2.12,2.51,Yes,0.13,0.23,Yes,<0.003,0.011,Yes,0.16,0.81,Yes,<0.03,0.11,N/A,370,Yes,4.8,16,Yes,83.1,39.9,Yes,Extra Virgin,California Brand,None,0
Mezzetta - Los Angeles County,Mezzetta,Los Angeles County,Yes,11,20,Yes,2.34,2.51,Yes,0.17,0.23,Yes,<0.003,0.011,Yes,0.51,0.81,Yes,0.09,0.11,N/A,125,No,16.8,16,No,32.5,39.9,No,Virgin,Imported,"Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",3
Mezzetta - Sacramento County,Mezzetta,Sacramento County,Yes,10,20,Yes,2.31,2.51,Yes,0.2,0.23,Yes,0.01,0.011,Yes,0.5,0.81,Yes,0.07,0.11,N/A,131,No,18.4,16,No,32.2,39.9,No,Virgin,Imported,"Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",3
Mezzetta - San Francisco Bay Area,Mezzetta,San Francisco Bay Area,Yes,10,20,Yes,2.33,2.51,Yes,0.18,0.23,Yes,<0.003,0.011,Yes,0.52,0.81,Yes,0.08,0.11,N/A,133,No,16.6,16,No,31,39.9,No,Virgin,Imported,"Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",3
Newmans Own Organics - Los Angeles County,Newmans Own Organics,Los Angeles County,Yes,9,20,Yes,2.36,2.51,Yes,0.17,0.23,Yes,<0.003,0.011,Yes,0.43,0.81,Yes,<0.03,0.11,N/A,211,Yes,9.8,16,No,39.5,39.9,Yes,Extra Virgin,Imported,"1,2-Diacylglycerol Content",2
